module_1,module_2,n_donors,rho,p_value,fdr_BH_10_pairs
BNB_EC · LIF_LIFR,BNB_EC · Leukocyte_transmigration,9,0.6666666666666667,0.0498672305688851,0.1662241018962837
BNB_EC · LIF_LIFR,Macrophage · Complement,9,0.0833333333333333,0.831214097710308,0.9660548039946862
BNB_EC · LIF_LIFR,Macrophage · Fc_receptor,9,-0.0166666666666666,0.9660548039946862,0.9660548039946862
BNB_EC · LIF_LIFR,Repair_damage_SC · Schwann_myelin_repair,9,0.7833333333333333,0.0125198730194498,0.1251987301944988
BNB_EC · Leukocyte_transmigration,Macrophage · Complement,9,0.6833333333333333,0.0424422720870723,0.1662241018962837
BNB_EC · Leukocyte_transmigration,Macrophage · Fc_receptor,9,0.35,0.3558195725017889,0.5930326208363149
BNB_EC · Leukocyte_transmigration,Repair_damage_SC · Schwann_myelin_repair,9,0.6166666666666666,0.0769288099377631,0.1923220248444078
Macrophage · Complement,Macrophage · Fc_receptor,9,0.35,0.3558195725017889,0.5930326208363149
Macrophage · Complement,Repair_damage_SC · Schwann_myelin_repair,9,-0.1166666666666666,0.765007942926146,0.9660548039946862
Macrophage · Fc_receptor,Repair_damage_SC · Schwann_myelin_repair,9,0.0499999999999999,0.8983528043506303,0.9660548039946862
