cell_group,panel,n_case,n_reference,delta_mean_z,p_value,fdr_within_celltype_comparison
Macrophage,BNB_identity_integrity,9,11,0.05416586268727103,0.648503379652976,0.9394400080349974
Macrophage,Leukocyte_transmigration,9,11,-0.3452136880523281,0.018513473775353916,0.07405389510141566
Macrophage,CXCL8_CXCR1_2,9,11,-0.11460610739921742,0.8790477722505494,0.9394400080349974
Macrophage,LIF_LIFR,9,11,0.0045071642180877555,0.9394400080349974,0.9394400080349974
Macrophage,Complement,9,11,-0.1093665117905972,0.8197075378297883,0.9394400080349974
Macrophage,Fc_receptor,9,11,-0.6728671731309646,0.0010874365767340446,0.008699492613872357
Macrophage,Macrophage_state,9,11,-0.3681625391136003,0.03339814633921801,0.08906172357124803
Macrophage,Schwann_myelin_repair,9,11,-0.08965013114202483,0.5948534237883254,0.9394400080349974
T_NK,BNB_identity_integrity,9,11,-0.049562743638116094,0.9394400080349974,0.9394400080349974
T_NK,Leukocyte_transmigration,9,11,-0.24704195651352845,0.08056875653563067,0.6445500522850454
T_NK,CXCL8_CXCR1_2,9,11,0.3170193645918532,0.33000250336386605,0.9394400080349974
T_NK,LIF_LIFR,9,11,0.07335370611284292,0.5948534237883254,0.9394400080349974
T_NK,Complement,9,11,-0.11251817769447754,0.4941245444092638,0.9394400080349974
T_NK,Fc_receptor,9,11,0.025575309451282863,0.40331756510948324,0.9394400080349974
T_NK,Macrophage_state,9,11,-0.0032134138393551948,0.9394400080349974,0.9394400080349974
T_NK,Schwann_myelin_repair,9,11,-0.0926282362705146,0.8197075378297883,0.9394400080349974
BNB_EC,BNB_identity_integrity,9,11,-0.4038761906200714,0.027577991563328515,0.22062393250662812
BNB_EC,Leukocyte_transmigration,9,11,-0.08222048687360223,0.44741170200931857,0.7905992710548221
BNB_EC,CXCL8_CXCR1_2,9,11,-0.02405435437427003,0.440257435859737,0.7905992710548221
BNB_EC,LIF_LIFR,9,11,0.053624547717688306,0.7612079858009609,1.0
BNB_EC,Complement,9,11,0.11452668171076694,0.4941245444092638,0.7905992710548221
