protein,discovery_beta,discovery_se,replication_beta,replication_se,source_table,source_url,verification_date
SELE,1.79,0.377,2.33,0.766,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
IL2RA,0.741,0.234,2.47,0.313,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
CCL3,0.836,0.27,0.684,0.534,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
CR2,0.692,0.273,1.92,0.624,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
CD1C,0.561,0.252,1.04,0.299,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
THBD,0.656,0.317,1.92,0.477,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
NRP1,0.0965,0.0485,0.288,0.119,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
CD38,0.635,0.352,1.18,0.447,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
IL6,0.37,0.514,1.89,0.427,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
CD5,-0.0882,0.126,1.51,0.514,"Kmezic et al. 2023, Table 4B, CSF, age/sex/sample-handling adjusted",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-07
