study,resource,cohort,platform,feature,result,program,inference_level,source
Ziganshin et al. 2016,PXD002911,"AIDP/GBS, MS and controls",Proteome and endogenous peptidome,AIDP proteome,1402 identified proteins,Protein accumulation,Study-reported group result,https://doi.org/10.1074/mcp.M115.056036
Ziganshin et al. 2016,PXD002911,"AIDP/GBS, MS and controls",Proteome and endogenous peptidome,Control proteome,1103 identified proteins,Reference,Study-reported group result,https://doi.org/10.1074/mcp.M115.056036
Ziganshin et al. 2016,PXD002911,"AIDP/GBS, MS and controls",Proteome and endogenous peptidome,AIDP peptidome,2355 fragments from 795 proteins,Structural proteolysis,Study-reported group result,https://doi.org/10.1074/mcp.M115.056036
Ziganshin et al. 2016,PXD002911,"AIDP/GBS, MS and controls",Proteome and endogenous peptidome,Functional annotation,Innate antibacterial and antiviral defense,Local inflammation,Study-reported annotation,https://doi.org/10.1074/mcp.M115.056036
Ziganshin et al. 2016,PXD002911,"AIDP/GBS, MS and controls",Proteome and endogenous peptidome,Differential fragments,"Nodal, axonal-domain and myelin-organizing proteins",Structural proteolysis,Study-reported annotation,https://doi.org/10.1074/mcp.M115.056036
D'Aguanno et al. 2010,Article-level public results,"GBS, MS and healthy controls",2D electrophoresis and MALDI-TOF/TOF,Complement,Complement C3 isoform upregulated,Complement,Published differential-protein result,https://pubmed.ncbi.nlm.nih.gov/20801190/
D'Aguanno et al. 2010,Article-level public results,"GBS, MS and healthy controls",2D electrophoresis and MALDI-TOF/TOF,Inflammation and oxidative injury,"Vitamin D-binding protein and APOH up, albumin fragments altered",Local inflammation,Published differential-protein result,https://pubmed.ncbi.nlm.nih.gov/20801190/
Ding et al. 2022,Article-level public results,"10 GBS and 10 NND discovery, independent validation",TMT quantitative CSF proteomics,Differential proteome,97 of 298 proteins differed,Protein handling and neural structure,Published discovery result,https://doi.org/10.1111/ene.15213
Ding et al. 2022,Article-level public results,40 GBS and 40 NND in CSF validation,ELISA validation,Validated proteins,"APOC3 increased, TGOLN2 and NCAM1 decreased",Protein handling and neural structure,Published validation result,https://doi.org/10.1111/ene.15213
Sun et al. 2025,Article and supplementary results,23 GBS and 14 NND,Olink 92-protein inflammation panel,Differential proteins,19 increased and IL5 decreased,Local inflammation,Published participant-level comparison,https://doi.org/10.2147/JIR.S507515
Sun et al. 2025,Article and supplementary results,23 GBS and 14 NND,Olink 92-protein inflammation panel,Representative increased proteins,"IL8, CCL20, MCP-1, CXCL1, CXCL9, CXCL10, TNF, IL17C and IL18",Local inflammation,Published participant-level comparison,https://doi.org/10.2147/JIR.S507515
Sun et al. 2025,Article table 1,23 GBS and 14 NND,Routine CSF measurements,CSF total protein,Median 574 vs 264 mg/L,Protein accumulation,Published participant-level comparison,https://doi.org/10.2147/JIR.S507515
Sun et al. 2025,Article table 1,23 GBS and 14 NND,Routine CSF measurements,CSF IgG,Median 53 vs 22 mg/L,Protein accumulation,Published participant-level comparison,https://doi.org/10.2147/JIR.S507515
Sun et al. 2025,Article table 1,23 GBS and 14 NND,Routine CSF measurements,CSF IgM,Median 1.3 vs 0.3 mg/L,Protein accumulation,Published participant-level comparison,https://doi.org/10.2147/JIR.S507515
