Figure or table,Data file,Content,Attribution
1A,source_data/Datasets.csv,Study design and resource roles,Schematic based on resource metadata
1B,source_data/Cross_compartment_map.csv,Complementary analytical roles,Conceptual schematic without causal or temporal inference
2A,source_data/Blood_cohort_effects.csv,Seven modules in three cohorts,Our previously computed cohort effects
2B,source_data/Blood_meta.csv,Random effects synthesis,Our recomputation using modified Hartung-Knapp intervals
2C,source_data/Figure_2C_leave_one_cohort_out.csv,Leave one cohort out,Our recomputation
3A,source_data/CSF_Kmezic_published_coefficients.csv,Adjusted coefficients and standard errors,Published statistics from Kmezic et al.
3B,results/tables/csf_kmezic_adjusted_meta.csv,Fixed effect pooling of eight proteins,Our computation from published statistics
3C,source_data/Figure_3C_coverage.csv,Counts of studies and platforms for selected programs,Our descriptive tally of selected published evidence
4A,source_data/CIDP_expression.csv,Descriptive cell expression localization,Our archived expression results. Plot interior retained as raster asset
4B,source_data/CIDP_module_effects.csv,CIDP versus CIAP module scores,Our donor level unadjusted Mann-Whitney comparisons
4C,source_data/CIDP_cell_fractions.csv,Cell fraction differences,Our unadjusted donor comparisons
4D,results/tables/cidp_clinical_correlations_with_fdr.csv,INCAT correlations,Our Spearman correlations. Colors indicate nominal P values
5A,source_data/Cross_compartment_map.csv,Qualitative cross compartment evidence matrix,"Our synthesis. Codes are evidence categories, not comparable effect sizes"
5B,source_data/Genetic_celltype_summary.csv,CIDP cell expression and detection,Our archived disease-group summaries of donor-level expression and detection.
5C,source_data/CIDP_genetic_evidence.csv,Genetic estimates and candidate selection,"Published Du et al. GWAS, MR and colocalization estimates"
5D,source_data/Figure_5D_genetic_expression_contrasts.csv,Four genes in ten cell groups,Our archived CIDP versus CIAP contrasts. All displayed FDR values exceed 0.05
S1,results/tables/genetic_cell_localization_bootstrap.csv,Donor bootstrap intervals,Our 5000 resample bootstrap
S2,results/tables/cidp_external_nerve_validation.csv,External published nerve observations,Published 52 of 55 count. Only proportion and Wilson interval calculated here
Table 1,tables/Table_1_manuscript.csv,Resource table,Exact text exported from manuscript v36
Table 2,tables/Table_2_manuscript.csv,Blood synthesis table,Exact rounded values exported from manuscript v36
Table 3,tables/Table_3_manuscript.csv,Evidence integration table,Exact text exported from manuscript v36
