protein,cohort,beta,se,ci_low,ci_high,source_p,source_q,source_table
IL8,discovery,1.66,0.415,0.8466149464159,2.4733850535840998,0.0015,0.0163,3
IL8,replication,2.62,0.462,1.71449663914252,3.5255033608574804,0.0008,0.0071,3
SELE,discovery,1.79,0.377,1.05109357782842,2.52890642217158,0.0004,0.0086,4B
SELE,replication,2.33,0.766,0.8286675878423599,3.83133241215764,0.0188,0.0446,4B
IL2RA,discovery,0.741,0.234,0.2823684276176399,1.19963157238236,0.0075,0.0466,4B
IL2RA,replication,2.47,0.313,1.8565312728389802,3.08346872716102,9.94e-05,0.0019,4B
CCL3,discovery,0.836,0.27,0.30680972417419994,1.3651902758258,0.0085,0.0466,4B
CCL3,replication,0.684,0.534,-0.36262076774436014,1.7306207677443601,0.241,0.294,4B
CR2,discovery,0.692,0.273,0.15692983222057988,1.22707016777942,0.025,0.0786,4B
CR2,replication,1.92,0.624,0.6969824736470398,3.14301752635296,0.0178,0.0446,4B
CD1C,discovery,0.561,0.252,0.06708907589592,1.0549109241040802,0.0446,0.123,4B
CD1C,replication,1.04,0.299,0.45397076862254004,1.62602923137746,0.0102,0.0388,4B
THBD,discovery,0.656,0.317,0.034691416900820005,1.2773085830991802,0.059,0.144,4B
THBD,replication,1.92,0.477,0.9850971793744199,2.85490282062558,0.0051,0.0238,4B
NRP1,discovery,0.0965,0.0485,0.0014417467498099995,0.19155825325019,0.0683,0.15,4B
NRP1,replication,0.288,0.119,0.05476428583973997,0.5212357141602599,0.0459,0.0793,4B
CD38,discovery,0.635,0.352,-0.05490732255807995,1.3249073225580799,0.0943,0.173,4B
CD38,replication,1.18,0.447,0.30389609891061986,2.0561039010893802,0.0389,0.0738,4B
IL6,discovery,0.37,0.514,-0.6374214880535601,1.3774214880535602,0.485,0.547,4B
IL6,replication,1.89,0.427,1.0530953786014199,2.72690462139858,0.0031,0.0194,4B
CD5,discovery,-0.0882,0.126,-0.33515546205204005,0.15875546205204003,0.497,0.547,4B
CD5,replication,1.51,0.514,0.5025785119464399,2.51742148805356,0.0218,0.046,4B
