protein,model,beta,se,ci_low,ci_high,p_value,q_BH_11
IL8,fixed,2.0886992213530253,0.3087327535710752,1.483594143505838,2.6938042992002127,1.3294540627007522e-11,7.311997344854137e-11
IL8,random,2.118531770833333,0.4795196712716252,1.1786904852624622,3.058373056404205,9.96051001462086e-06,5.478280508041473e-05
SELE,fixed,1.89529735143404,0.3382521871436539,1.232335246940576,2.558259455927504,2.104204956826273e-08,7.71541817502967e-08
SELE,random,1.89529735143404,0.3382521871436539,1.232335246940576,2.558259455927504,2.104204956826273e-08,2.3146254525089005e-07
IL2RA,fixed,1.36089277459486,0.1874153369440532,0.9935654640340766,1.7282200851556433,3.831790546142842e-13,4.214969600757127e-12
IL2RA,random,1.5930034702139968,0.8644096752948267,-0.1012083612518259,3.28721530167982,0.0653465046462325,0.0898514438885697
CCL3,fixed,0.8050528855821435,0.2409514495612061,0.3327967224194599,1.277309048744827,0.0008343469166854,0.0011472270104424
CCL3,random,0.8050528855821435,0.2409514495612061,0.3327967224194599,1.277309048744827,0.0008343469166854,0.0030592720278465
CR2,fixed,0.8892852459016393,0.2501109524282977,0.399076787003165,1.3794937048001137,0.0003771705632537,0.0005926965993986
CR2,random,1.17780496742671,0.6004681786935369,0.0009089633250165,2.354700971528404,0.0498233189474769,0.0782937869174637
CD1C,fixed,0.7599366992577091,0.1926907581821369,0.3822697530670039,1.1376036454484142,8.01955383054952e-05,0.000176430184272
CD1C,random,0.7734676409185803,0.2379695391483817,0.3070559147701577,1.239879367067003,0.0011529142117969,0.0031705140824416
THBD,fixed,1.043229042308654,0.2640151222645619,0.5257689112961735,1.5606891733211343,7.769572049681556e-05,0.000176430184272
THBD,random,1.237746835443038,0.6299989043260399,0.0029716726643045,2.4725219982217714,0.0494511780718005,0.0782937869174637
NRP1,fixed,0.1237784506381239,0.0449130369163214,0.0357505158458159,0.2118063854304319,0.0058520482015337,0.006437253021687
NRP1,random,0.1614177545691905,0.0906500697280169,-0.0162531172937672,0.3390886264321484,0.0749665663481454,0.0916258033143999
CD38,fixed,0.8436035469690745,0.2765477416730862,0.3015799332839388,1.38562716065421,0.0022847536855377,0.0027924767267683
CD38,random,0.8436035469690745,0.2765477416730862,0.3015799332839388,1.38562716065421,0.0022847536855377,0.0050264581081829
IL6,fixed,1.2693402832988074,0.3284491213839474,0.625591834632446,1.9130887319651688,0.0001112494582025,0.000203957340038
IL6,random,1.156929934210526,0.7595227308273376,-0.3317072636505656,2.645567132071617,0.1277004733239021,0.1404705206562923
CD5,fixed,0.0023946442343397,0.1223767225111618,-0.2374593244335895,0.242248612902269,0.9843881442484942,0.9843881442484942
CD5,random,0.6332126016768864,0.7953147038385406,-0.9255755742217926,2.192000777575565,0.425928194515657,0.425928194515657
