protein,contrast,cohort,beta,se,source_p,source_q,n_case,n_reference,source_table,availability,specimen,scale,adjustment,source_url,verification_date,normal_ci_low,normal_ci_high,interval_method,shared_participants,orange_source_q_below_05
IL8,GBS versus CIDP,Replication,1.71,0.419,0.0046,0.0291,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.8887750904777173,2.5312249095222827,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
ITGAM,GBS versus CIDP,Replication,1.19,0.26,0.0026,0.0291,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.6804093640195858,1.699590635980414,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
IL2RA,GBS versus CIDP,Replication,1.58,0.427,0.0077,0.0364,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.743095378601397,2.4169046213986034,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
IL6,GBS versus CIDP,Replication,1.33,0.315,0.0039,0.0291,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.7126113448698831,1.947388655130117,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
NRP1,GBS versus CIDP,Replication,0.387,0.114,0.0116,0.0441,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1635641057624338,0.6104358942375662,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
SELE,GBS versus CIDP,Replication,1.91,0.785,0.0455,0.108,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.3714282721360573,3.4485717278639427,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
THBD,GBS versus CIDP,Replication,1.09,0.481,0.0577,0.11,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1472573234362341,2.032742676563766,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
CD40,GBS versus CIDP,Replication,0.519,0.183,0.0254,0.0804,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1603265908291701,0.8776734091708299,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
CR2,GBS versus CIDP,Replication,1.56,0.669,0.0527,0.11,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.2487840943427037,2.871215905657296,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
CD28,GBS versus CIDP,Replication,0.557,0.26,0.0693,0.12,6,6,5,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.0474093640195859,1.0665906359804145,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
