protein,source_table,discovery_beta,discovery_se,replication_beta,replication_se,discovery_source_p,discovery_source_q,replication_source_p,replication_source_q,fixed_beta,fixed_se,fixed_low,fixed_high,fixed_p,random_beta,random_se,random_low,random_high,random_p,mhk_se,mhk_low,mhk_high,mhk_p,Q,tau2,I2_percent,q_fixed_BH_11,q_random_BH_11,q_mhk_BH_11,positive_in_both,source_q_below_05_in_both
IL8,3,1.66,0.415,2.62,0.462,0.0015,0.0163,0.0008,0.0071,2.0886992213530253,0.3087327535710752,1.483594143505838,2.6938042992002127,1.3294540627007522e-11,2.118531770833333,0.4795196712716252,1.1786904852624622,3.058373056404205,9.96051001462086e-06,0.4795196712716253,-3.974343347367124,8.21140688903379,0.1417080801038523,2.389613891705064,0.2679655,58.15223524305557,7.311997344854137e-11,5.478280508041473e-05,0.3981455258347254,True,True
SELE,4B,1.79,0.377,2.33,0.766,0.0004,0.0086,0.0188,0.0446,1.89529735143404,0.3382521871436539,1.232335246940576,2.558259455927504,2.104204956826273e-08,1.89529735143404,0.3382521871436539,1.232335246940576,2.558259455927504,2.104204956826273e-08,0.3382521871436539,-2.4026041908721054,6.193198893740185,0.1124332761688501,0.400063110092813,0.0,0.0,7.71541817502967e-08,2.3146254525089005e-07,0.3981455258347254,True,True
IL2RA,4B,0.741,0.234,2.47,0.313,0.0075,0.0466,9.94e-05,0.0019,1.36089277459486,0.1874153369440532,0.9935654640340766,1.7282200851556433,3.831790546142842e-13,1.5930034702139968,0.8644096752948267,-0.1012083612518259,3.28721530167982,0.0653465046462325,0.8644096752948267,-9.39036284001236,12.576369780440354,0.3165059517733207,19.5740121132755,1.4183580000000002,94.89118534200875,4.214969600757127e-12,0.0898514438885697,0.3981455258347254,True,True
CCL3,4B,0.836,0.27,0.684,0.534,0.0085,0.0466,0.241,0.294,0.8050528855821435,0.2409514495612061,0.3327967224194599,1.277309048744827,0.0008343469166854,0.8050528855821435,0.2409514495612061,0.3327967224194599,1.277309048744827,0.0008343469166854,0.2409514495612061,-2.2565255640206123,3.8666313351848993,0.185137603027536,0.0645262193623343,0.0,0.0,0.0011472270104424,0.0030592720278465,0.3981455258347254,True,False
CR2,4B,0.692,0.273,1.92,0.624,0.025,0.0786,0.0178,0.0446,0.8892852459016393,0.2501109524282977,0.399076787003165,1.3794937048001137,0.0003771705632537,1.17780496742671,0.6004681786935369,0.0009089633250165,2.354700971528404,0.0498233189474769,0.6004681786935369,-6.4518666486113005,8.807476583464721,0.3001487003013797,3.2506310559273994,0.5220395000000003,69.23674256490786,0.0005926965993986,0.0782937869174637,0.3981455258347254,True,False
CD1C,4B,0.561,0.252,1.04,0.299,0.0446,0.123,0.0102,0.0388,0.7599366992577091,0.1926907581821369,0.3822697530670039,1.1376036454484142,8.01955383054952e-05,0.7734676409185803,0.2379695391483817,0.3070559147701577,1.239879367067003,0.0011529142117969,0.2379695391483817,-2.2502220444738965,3.7971573263110576,0.1900149049003748,1.5005460907099175,0.0382679999999999,33.35759519876569,0.000176430184272,0.0031705140824416,0.3981455258347254,True,False
THBD,4B,0.656,0.317,1.92,0.477,0.059,0.144,0.0051,0.0238,1.043229042308654,0.2640151222645619,0.5257689112961735,1.5606891733211343,7.769572049681556e-05,1.237746835443038,0.6299989043260399,0.0029716726643045,2.4725219982217714,0.0494511780718005,0.6299989043260399,-6.767148226489359,9.242641897375435,0.2997285622906546,4.870757092598576,0.6348389999999997,79.46931080756289,0.000176430184272,0.0782937869174637,0.3981455258347254,True,False
NRP1,4B,0.0965,0.0485,0.288,0.119,0.0683,0.15,0.0459,0.0793,0.1237784506381239,0.0449130369163214,0.0357505158458159,0.2118063854304319,0.0058520482015337,0.1614177545691905,0.0906500697280169,-0.0162531172937672,0.3390886264321484,0.0749665663481454,0.0906500697280169,-0.9904005907435044,1.3132360998818855,0.3257554302284117,2.2207772546288584,0.0100794999999999,54.970720367580384,0.006437253021687,0.0916258033143999,0.3981455258347254,True,False
CD38,4B,0.635,0.352,1.18,0.447,0.0943,0.173,0.0389,0.0738,0.8436035469690745,0.2765477416730862,0.3015799332839388,1.38562716065421,0.0022847536855377,0.8436035469690745,0.2765477416730862,0.3015799332839388,1.38562716065421,0.0022847536855377,0.2765477416730862,-2.6702686780559093,4.357475771994058,0.2016670328919485,0.9175566010632874,0.0,0.0,0.0027924767267683,0.0050264581081829,0.3981455258347254,True,False
IL6,4B,0.37,0.514,1.89,0.427,0.485,0.547,0.0031,0.0194,1.2693402832988074,0.3284491213839474,0.625591834632446,1.9130887319651688,0.0001112494582025,1.156929934210526,0.7595227308273376,-0.3317072636505656,2.645567132071617,0.1277004733239021,0.7595227308273378,-8.49372138546013,10.807581253881182,0.3698315293504804,5.174178377470466,0.9319374999999994,80.67326004155125,0.000203957340038,0.1404705206562923,0.4068146822855285,True,False
CD5,4B,-0.0882,0.126,1.51,0.514,0.497,0.547,0.0218,0.046,0.0023946442343397,0.1223767225111618,-0.2374593244335895,0.242248612902269,0.9843881442484942,0.6332126016768864,0.7953147038385406,-0.9255755742217926,2.192000777575565,0.425928194515657,0.7953147038385409,-9.472218854985757,10.738644058339528,0.5719327177701442,9.119952155160105,1.1370856199999992,89.03503019547973,0.9843881442484942,0.425928194515657,0.5719327177701442,False,False
