sheet,figure,panel,rows,csv,data_level,unit,upstream_file,source_url,notes
F1_Study_design,Figure 1,All,3,F1_Study_design.csv,Study design,Study design and counts,Manuscript; analysis/make_figures.py,,"Schematic, not experimental measurements. CSF contrasts share participants."
F2A_Blood_cohort,Figure 2,A,21,F2A_Blood_cohort.csv,Aggregate analysis estimate,Hedges g,legacy_reference/analysis_update/source_data/Blood_cohort_effects.csv,GSE211225; GSE31014; PRJNA1293757,Seven programmes in three cohorts; FDR retained from each cohort.
F2B_Blood_meta,Figure 2,B,7,F2B_Blood_meta.csv,Aggregate analysis estimate,Hedges g,legacy_reference/analysis_update/source_data/Blood_meta.csv,GSE211225; GSE31014; PRJNA1293757,DerSimonian–Laird pooled effects with modified Hartung–Knapp intervals.
F2C_Blood_leaveout,Figure 2,C,21,F2C_Blood_leaveout.csv,Aggregate analysis estimate,Hedges g,legacy_reference/analysis_update/source_data/Figure_2C_leave_one_cohort_out.csv,GSE211225; GSE31014; PRJNA1293757,"Pooled effects after each omitted cohort; these are sensitivity estimates, not additional cohorts."
F3A_CSF_cohorts,Figure 3,A,22,F3A_CSF_cohorts.csv,Published regression estimate,Adjusted log2 NPX coefficient,results/CSF_meta_11_proteins.csv,https://doi.org/10.3389/fimmu.2023.1241199,Normal-approximation display intervals. Source P and q are kept separately.
F3B_CSF_pooled,Figure 3,B,22,F3B_CSF_pooled.csv,Aggregate analysis estimate,Adjusted log2 NPX coefficient,results/CSF_meta_11_proteins.csv,https://doi.org/10.3389/fimmu.2023.1241199,Plotted fixed and random effects; normal-approximation intervals.
F3_Pooling_sensitivity,Figure 3,B and legend,11,F3_Pooling_sensitivity.csv,Aggregate analysis estimate,Adjusted log2 NPX coefficient,results/CSF_meta_11_proteins.csv,https://doi.org/10.3389/fimmu.2023.1241199,All 11 modified Hartung–Knapp intervals include zero; retain all pooling methods.
F3C_GBS_CIDP,Figure 3,C,10,F3C_GBS_CIDP.csv,Published regression estimate,Adjusted log2 NPX coefficient,results/CSF_disease_comparisons.csv,https://doi.org/10.3389/fimmu.2023.1241199,Intervals from normal approximation; colours reflect source q. Shared participants.
F3D_CIDP_HC,Figure 3,D,6,F3D_CIDP_HC.csv,Published regression estimate,Adjusted log2 NPX coefficient,results/CSF_disease_comparisons.csv,https://doi.org/10.3389/fimmu.2023.1241199,Intervals from normal approximation; colours reflect source q. Shared participants.
F4A_Nerve_expression,Figure 4,A,91,F4A_Nerve_expression.csv,Aggregate analysis estimate,Mean donor log2(CPM + 0.5),legacy_reference/analysis_update/source_data/Figure_4A_mean_expression.csv,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,CIDP; thirteen genes in seven cell groups.
