gene,cell_group,n_donors,mean_expression,expression_ci_low,expression_ci_high,mean_percent_expressing,detection_ci_low,detection_ci_high,bootstrap_replicates,expression_rank_within_gene
CDH4,Adipo,8,0.0520737893939538,0.0194895552759351,0.0841482030167414,5.513198973585887,1.743250491686036,9.58756803654476,5000,6
CDH4,BNB_EC,9,0.0015510372558428,0.0,0.0041809207731231,0.114564304339001,0.0,0.268617837941928,5000,14
CDH4,B_cell,9,0.0130841758895854,0.0,0.0392525276687564,0.6172839506172839,0.0,1.851851851851852,5000,11
CDH4,Endoneurial_stroma,9,0.1204044261571493,0.0671164346002089,0.1759416981706238,5.490702666268295,3.142855753827817,7.921792170769826,5000,5
CDH4,Epineurial_stroma,9,0.2864875298765035,0.1807249898881008,0.3927601972989111,11.788745919638329,8.109262400953792,15.19496476598229,5000,3
CDH4,Granulocyte,6,0.0,0.0,0.0,0.0,0.0,0.0,5000,15
CDH4,Macrophage,9,0.0326779217554646,0.0137716134717608,0.0540707217589275,1.9405174213507583,0.8046285495015625,3.1947583565565227,5000,8
CDH4,Mast,9,0.0235001510262399,0.0,0.0517409368859241,1.7704826038159374,0.0,3.973063973063973,5000,10
CDH4,Myelinating_SC,9,0.272636741456967,0.1696342771348318,0.393466634941697,11.24133194670825,6.905938237593439,16.031137045056532,5000,4
CDH4,Nonmyelinating_SC,9,0.3125538188277661,0.1984607707623633,0.4426790195633077,11.270567056676557,7.011092004820248,16.186797908101436,5000,2
CDH4,Other_EC,9,0.0033285618354536,0.001212478709521,0.0061222845103905,0.2303729561909819,0.0962788979834637,0.3826887097912485,5000,13
CDH4,Pericyte_VSMC,9,0.0050151776010323,0.0009136997470782,0.0110523527601096,0.347798861986657,0.0497098780578487,0.7252155818121402,5000,12
CDH4,Perineurium,9,0.0257137851354246,0.0138500988173667,0.0386817867618396,1.421133949066055,0.7501456367463666,2.180109367973307,5000,9
CDH4,Repair_damage_SC,9,0.3647682844078966,0.2338687387747019,0.5091636840544911,15.496704202768877,9.956709283316563,21.15331468775437,5000,1
CDH4,T_NK,9,0.0444348950000034,0.0159507626498779,0.0764473024837263,1.9160094394998133,0.8001038587805129,3.1001686862781543,5000,7
DIRAS1,Adipo,8,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
DIRAS1,BNB_EC,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
DIRAS1,B_cell,9,0.0085979783151056,0.0,0.025793934945317,0.7936507936507936,0.0,2.380952380952381,5000,2
DIRAS1,Endoneurial_stroma,9,0.0003755075420617,0.0,0.0008996635340891,0.0198361269795749,0.0,0.0485398605921197,5000,8
DIRAS1,Epineurial_stroma,9,0.000442836906055,0.0,0.0011643330489595,0.0416036788642293,0.0,0.1056120475774224,5000,7
DIRAS1,Granulocyte,6,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
DIRAS1,Macrophage,9,0.0011590997873328,0.0001610392494391,0.0024951507960964,0.0834014471754954,0.0106123315292369,0.184535234023568,5000,5
DIRAS1,Mast,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
DIRAS1,Myelinating_SC,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
DIRAS1,Nonmyelinating_SC,9,0.0013399406915935,0.0004141513172434,0.0023950820937312,0.0653091575008436,0.0183288681473799,0.1214448271746689,5000,4
DIRAS1,Other_EC,9,0.0001770176741057,0.0,0.0005310530223171,0.005948132286462,0.0,0.0178443968593861,5000,9
DIRAS1,Pericyte_VSMC,9,0.0019157866202356,0.0007041504522612,0.0032072313604571,0.0747159768363557,0.0284199901790723,0.1195720563217107,5000,3
DIRAS1,Perineurium,9,0.0006962907959832,0.0001593078850988,0.0013929955542652,0.0393159798664914,0.0059385949284399,0.0846644028741912,5000,6
DIRAS1,Repair_damage_SC,9,0.0128010013136751,0.0037141907307431,0.0227190618098577,0.7858618805990156,0.2009105046871877,1.5311048175287951,5000,1
DIRAS1,T_NK,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,10
GNG7,Adipo,8,0.1738978986995622,0.1274198973625698,0.2295298612568783,12.52813049981678,9.8576469559836,16.504451125786574,5000,7
GNG7,BNB_EC,9,0.2452638515796663,0.1996502677052762,0.2855859973252131,11.439215736118006,8.72865265095587,14.14035453599802,5000,3
GNG7,B_cell,9,1.5194353578913575,1.0743400164038346,1.894976136625411,50.54266720933387,33.68487993487993,66.66666666666667,5000,1
GNG7,Endoneurial_stroma,9,0.0228893492220629,0.0118663721966708,0.0348112426512627,1.2593024022010542,0.7009286712220302,1.81342098039996,5000,15
GNG7,Epineurial_stroma,9,0.0478088822163104,0.0375039469274183,0.0580708868176311,2.540948807818036,1.81871941616445,3.2846617424461746,5000,13
GNG7,Granulocyte,6,0.197073997990976,0.0,0.5227036641852411,5.043859649122807,0.0,13.377192982456142,5000,6
GNG7,Macrophage,9,0.5028301779068304,0.360602931754606,0.6225182860598523,19.177603245451337,13.813751797152754,24.05950622545414,5000,2
GNG7,Mast,9,0.2006742946155733,0.1428987310874123,0.2682255857423127,8.794872281714387,6.0334725175733945,11.851856862273529,5000,5
GNG7,Myelinating_SC,9,0.0412423353816407,0.0203203115431583,0.0628487210828216,2.16667178045166,1.1495756148002043,3.190465999466004,5000,14
GNG7,Nonmyelinating_SC,9,0.1318899659585326,0.1142209060652263,0.1498854017675469,5.154908730756883,4.309426859203644,5.993646578948757,5000,8
GNG7,Other_EC,9,0.1303623467902356,0.1101812804152346,0.150228016754845,6.005547379751072,4.9060285611763685,7.12564803874448,5000,9
GNG7,Pericyte_VSMC,9,0.0814270104466952,0.057662425885014,0.1071776307806615,3.9744068164388673,2.9169380317071854,5.301549344382685,5000,12
GNG7,Perineurium,9,0.1008338241535042,0.0710871721749093,0.1306045159931659,4.975471572716222,3.6039849169547473,6.627228388647944,5000,10
GNG7,Repair_damage_SC,9,0.2117949242561462,0.1480438600297011,0.2697665881448818,11.565720179275454,7.540713005079063,15.638412090571128,5000,4
GNG7,T_NK,9,0.1002211171710796,0.0637486553383222,0.1335985629226999,3.907712894974485,2.532780293477168,5.22868666311895,5000,11
SLC39A3,Adipo,8,0.0300622232110555,0.0112214201779769,0.0559429714131572,2.271776504414019,1.1080083031680037,3.6084340179205534,5000,2
SLC39A3,BNB_EC,9,0.03157223669713,0.0159512033560976,0.0525213940294788,1.4941730559501585,0.844509448236946,2.2510947387019447,5000,1
SLC39A3,B_cell,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,13
SLC39A3,Endoneurial_stroma,9,0.0048555832353472,0.0011605877739335,0.0093169253582322,0.273271395124745,0.0831149250773088,0.5225562818797257,5000,12
SLC39A3,Epineurial_stroma,9,0.0098725684441358,0.0036422698067906,0.017396559652667,0.6441552637787191,0.2233182029795158,1.1714567046611386,5000,8
SLC39A3,Granulocyte,6,0.0,0.0,0.0,0.0,0.0,0.0,5000,13
SLC39A3,Macrophage,9,0.0077701686824613,0.0030617925439116,0.0135149974226561,0.4938223421412083,0.1923988382296086,0.8551573849230149,5000,10
SLC39A3,Mast,9,0.0,0.0,0.0,0.0,0.0,0.0,5000,13
SLC39A3,Myelinating_SC,9,0.0265140600434934,0.011185626333367,0.0446437736330707,1.5889462669709464,0.6259994913660288,2.782137684301533,5000,3
SLC39A3,Nonmyelinating_SC,9,0.0108681506176421,0.0073132716970939,0.014455870553798,0.5344750214422559,0.318959566758465,0.7613604510272375,5000,7
SLC39A3,Other_EC,9,0.0223316819543935,0.0161619586210942,0.0285342140759116,1.201466472971191,0.8178769590586402,1.6188924825832651,5000,4
SLC39A3,Pericyte_VSMC,9,0.015490805149753,0.009835264254273,0.0208595867842632,0.8683562760058737,0.5695518284671404,1.1594703106186834,5000,5
SLC39A3,Perineurium,9,0.0111682922776141,0.0072504490890309,0.0160978390278552,0.6002540522931525,0.3994138642150204,0.902428593669491,5000,6
SLC39A3,Repair_damage_SC,9,0.0068548671734268,0.0012848867670962,0.0130562690273859,0.5433464273324005,0.1094690749863163,1.0401143817274734,5000,11
SLC39A3,T_NK,9,0.008953745278507,0.0,0.0186638132783328,0.4665100762084795,0.0,0.9822886227380612,5000,9
