gene,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,delta_z,n_case_above_zero,n_reference_above_zero,q_bh_available_genes
FCGR1A,0.7952166129857294,0.3624986075393571,0.0336352988496079,1.5567979271218508,0.0416268838157915,18,20,9,11,0.0805687565356306,4.246727085423964,3.451510472438234,0.8733271126215956,9,11,0.1477093869819895
FCGR2A,-0.7546810963699445,0.1631223202658016,-1.0973883742716246,-0.4119738184682644,0.0002096873993256,18,20,9,11,0.001087436576734,7.287541138801227,8.04222223517117,-1.6369225058165944,9,11,0.0078007740503287
FCGR2B,-0.7734974866123998,0.4873526879174258,-1.797387490028832,0.2503925168040324,0.1298912773549039,18,20,9,11,0.1714602060643273,5.753777543314012,6.527275029926411,-0.83985658127831,9,11,0.2694374666725144
FCGR3A,-0.4162376193655534,0.4571053766351143,-1.3765803798509462,0.5441051411198392,0.3745425059940453,18,20,9,11,0.3619347669211923,4.552484864721006,4.968722484086559,-0.4089887562796907,9,11,0.4423647151259017
FCGR3B,-0.1279362743451933,0.7074927584191885,-1.6143234038189946,1.358450855128608,0.8585210900359006,18,20,9,11,0.9692916048630852,0.7442094382765689,0.8721457126217622,-0.0851932581259168,6,8,0.9692916048630852
FCGRT,-0.062865164779878,0.2010423509084476,-0.4852394708253085,0.3595091412655525,0.758105347969125,18,20,9,11,0.648503379652976,7.594592527091844,7.657457691871723,-0.1353374720544029,9,11,0.7133537176182736
FCER1G,-0.8324897993943576,0.2524526704710391,-1.3628731789046715,-0.3021064198840435,0.0040023880569924,18,20,9,11,0.0014183225546052,4.785084802552627,5.617574601946985,-1.4411572509307855,9,11,0.0078007740503287
TYROBP,-0.5892457493318783,0.1867832777240503,-0.9816628542507988,-0.196828644412958,0.0054815007284649,18,20,9,11,0.0097915120779696,5.872847325377316,6.462093074709194,-0.9674454250899795,9,11,0.0269266582144166
SYK,-0.32559284573127,0.205654858218307,-0.7576576700447571,0.1064719785822171,0.1307873623709259,18,20,9,11,0.2544505826463366,9.355924244907586,9.681517090638856,-0.9004400113514304,9,11,0.3498695511387127
LYN,-0.3440659979253333,0.1961960621066571,-0.7562586290137088,0.0681266331630421,0.0964958502080493,18,20,9,11,0.0575194003956383,9.255202691450425,9.599268689375757,-0.6988574321040046,9,11,0.1265426808704045
HCK,-0.8502763598381596,0.4358165924260915,-1.7658930443688807,0.0653403246925615,0.0668004713750676,18,20,9,11,0.0038893266021031,7.557646061037649,8.407922420875808,-1.160667324031088,9,11,0.0142608642077115
