annotation,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,q_eligible_refined_subtypes,q_eligible_annotation_definitions
Original macrophages,-0.6285336831572077,0.1625544865624504,-0.9700479867163254,-0.28701937959809,0.0011304995236335,18,20,9,11,0.001087436576734,-0.3456935257364644,0.2828401574207432,,0.001631154865101
Original Macro2,-0.6304033002627513,0.1623562224385292,-0.971501066354134,-0.2893055341713686,0.0010903231043025,18,20,9,11,0.001087436576734,-0.3467218151445124,0.2836814851182388,,0.001631154865101
Refined macrophages,-0.3993500372675237,0.1287494231395639,-0.6698425380097531,-0.1288575365252944,0.0061555506274033,18,20,9,11,0.0062370074588731,-0.2196425204971376,0.1797075167703861,,0.0062370074588731
Refined Macro2,-0.3430330209333881,0.222076951322261,-0.8681615657497967,0.1820955238830205,0.1663431148715123,7,9,3,6,0.0952380952380952,-0.228688680622257,0.114344340311131,0.2857142857142857,
Refined Macro4,-0.4598732512342118,0.4884162431962743,-1.815934138955603,0.8961876364871793,0.3997291441642606,4,6,3,3,0.4,-0.2299366256171061,0.2299366256171056,0.6309523809523809,
Refined Macro6,-0.0792130520220582,0.2227582882945893,-0.5831273094603311,0.4247012054162146,0.7303315946319133,9,11,5,6,0.6623376623376623,-0.0432071192847591,0.0360059327372991,0.7451298701298701,
Refined Macro7,0.1516683279503343,0.2326385709493169,-0.4942398936421061,0.7975765495427748,0.5499989980638941,4,6,3,3,0.4,0.0758341639751668,-0.0758341639751674,0.6309523809523809,
Refined Macro8,-0.2875910431815921,0.1452367694853342,-0.6429726156572678,0.0677905292940835,0.0950037635592028,6,8,4,4,0.0285714285714285,-0.1437955215907959,0.1437955215907962,0.2571428571428571,
Refined Macro9,-0.1572467968903225,0.1906374611105286,-0.5968575705360248,0.2823639767553798,0.4333625462539392,8,10,5,5,0.4206349206349206,-0.078623398445161,0.0786233984451614,0.6309523809523809,
Refined Macro12,0.2295475497884492,0.3903121540416246,-0.7255118855819266,1.184606985158825,0.5779058657060986,6,8,3,5,0.5714285714285714,0.1434672186177804,-0.0860803311706688,0.7346938775510203,
Refined Macro14,-0.0130781991468689,0.3069662186491807,-0.7389379641844549,0.7127815658907168,0.9672064584793958,7,9,4,5,0.9047619047619048,-0.0072656661927051,0.0058125329541638,0.9047619047619048,
Refined Macro15,-0.4541839350897739,0.2043349242927375,-0.9541734829444856,0.0458056127649376,0.0679409982538449,6,8,3,5,0.0714285714285714,-0.2838649594311087,0.1703189756586651,0.2857142857142857,
