cell_group,gene,n_donors,total_nuclei,mean_expression,mean_percent_expressing
BNB_EC,CDH4,9,2470,0.0015510372558428,0.114564304339001
BNB_EC,DIRAS1,9,2470,0.0,0.0
BNB_EC,GNG7,9,2470,0.2452638515796662,11.439215736118008
BNB_EC,SLC39A3,9,2470,0.03157223669713,1.4941730559501585
B_cell,CDH4,9,100,0.0130841758895854,0.6172839506172839
B_cell,DIRAS1,9,100,0.0085979783151056,0.7936507936507936
B_cell,GNG7,9,100,1.5194353578913578,50.54266720933387
B_cell,SLC39A3,9,100,0.0,0.0
Endoneurial_stroma,CDH4,9,9412,0.1204044261571493,5.490702666268295
Endoneurial_stroma,DIRAS1,9,9412,0.0003755075420617,0.0198361269795749
Endoneurial_stroma,GNG7,9,9412,0.0228893492220629,1.2593024022010542
Endoneurial_stroma,SLC39A3,9,9412,0.0048555832353472,0.273271395124745
Epineurial_stroma,CDH4,9,6853,0.2864875298765035,11.788745919638329
Epineurial_stroma,DIRAS1,9,6853,0.000442836906055,0.0416036788642293
Epineurial_stroma,GNG7,9,6853,0.0478088822163104,2.540948807818036
Epineurial_stroma,SLC39A3,9,6853,0.0098725684441358,0.6441552637787191
Macrophage,CDH4,9,3463,0.0326779217554646,1.9405174213507583
Macrophage,DIRAS1,9,3463,0.0011590997873328,0.0834014471754954
Macrophage,GNG7,9,3463,0.5028301779068304,19.177603245451337
Macrophage,SLC39A3,9,3463,0.0077701686824613,0.4938223421412083
Myelinating_SC,CDH4,9,3170,0.272636741456967,11.241331946708248
Myelinating_SC,DIRAS1,9,3170,0.0,0.0
Myelinating_SC,GNG7,9,3170,0.0412423353816407,2.16667178045166
Myelinating_SC,SLC39A3,9,3170,0.0265140600434934,1.5889462669709462
Nonmyelinating_SC,CDH4,9,20696,0.3125538188277661,11.270567056676557
Nonmyelinating_SC,DIRAS1,9,20696,0.0013399406915935,0.0653091575008436
Nonmyelinating_SC,GNG7,9,20696,0.1318899659585326,5.154908730756882
Nonmyelinating_SC,SLC39A3,9,20696,0.0108681506176421,0.5344750214422559
Pericyte_VSMC,CDH4,9,15243,0.0050151776010323,0.347798861986657
Pericyte_VSMC,DIRAS1,9,15243,0.0019157866202356,0.0747159768363557
Pericyte_VSMC,GNG7,9,15243,0.0814270104466952,3.9744068164388673
Pericyte_VSMC,SLC39A3,9,15243,0.015490805149753,0.8683562760058736
Perineurium,CDH4,9,26087,0.0257137851354246,1.421133949066055
Perineurium,DIRAS1,9,26087,0.0006962907959832,0.0393159798664914
Perineurium,GNG7,9,26087,0.1008338241535042,4.975471572716221
Perineurium,SLC39A3,9,26087,0.0111682922776141,0.6002540522931525
Repair_damage_SC,CDH4,9,1759,0.3647682844078966,15.496704202768877
Repair_damage_SC,DIRAS1,9,1759,0.0128010013136751,0.7858618805990156
Repair_damage_SC,GNG7,9,1759,0.2117949242561462,11.565720179275454
Repair_damage_SC,SLC39A3,9,1759,0.0068548671734268,0.5433464273324005
