cell_group,program,gene,present,sd_across_donors,in_score,n_donors_detected,n_eligible_donors
BNB_EC,Endothelial junctions,CLDN5,True,0.5843093969889134,True,20,20
BNB_EC,Endothelial junctions,OCLN,True,0.9631233429434044,True,20,20
BNB_EC,Endothelial junctions,TJP1,True,1.5629490148000005,True,20,20
BNB_EC,Endothelial junctions,CDH5,True,0.3646299878793776,True,20,20
BNB_EC,Endothelial transport,ABCB1,True,0.2196448323922206,True,20,20
BNB_EC,Endothelial transport,SLC1A1,True,0.3365614201547927,True,20,20
BNB_EC,Endothelial transport,MFSD2A,True,0.651336954289092,True,20,20
BNB_EC,Inflammatory adhesion,ICAM1,True,1.4524282679931602,True,19,20
BNB_EC,Inflammatory adhesion,VCAM1,True,1.7855675346138435,True,17,20
BNB_EC,Inflammatory adhesion,SELE,True,2.184679715940626,True,17,20
BNB_EC,Inflammatory adhesion,SELP,True,0.962282119383194,True,20,20
Myelinating_SC,Myelin maintenance,MPZ,True,0.4050321610714602,True,19,19
Myelinating_SC,Myelin maintenance,MBP,True,0.3264514549270186,True,19,19
Myelinating_SC,Myelin maintenance,PRX,True,0.204553385471624,True,19,19
Myelinating_SC,Myelin maintenance,EGR2,True,0.6167526803146969,True,19,19
Myelinating_SC,Myelin maintenance,PMP22,True,0.2468096718285435,True,19,19
Myelinating_SC,Myelin maintenance,MAG,True,0.7473824031334223,True,19,19
Myelinating_SC,Injury response,NGFR,True,1.776674445427387,True,17,19
Myelinating_SC,Injury response,ATF3,True,1.740077862764499,True,16,19
Myelinating_SC,Injury response,JUN,True,1.830404228917898,True,18,19
Myelinating_SC,Injury response,FOS,True,2.137864925620531,True,18,19
Myelinating_SC,Injury response,GDNF,True,0.9131091459440736,True,6,19
Myelinating_SC,Injury response,RUNX2,True,0.7593489430292474,True,19,19
Nonmyelinating_SC,Myelin maintenance,MPZ,True,0.6099171030440512,True,20,20
Nonmyelinating_SC,Myelin maintenance,MBP,True,0.4273530120731312,True,20,20
Nonmyelinating_SC,Myelin maintenance,PRX,True,1.8086913915011265,True,18,20
Nonmyelinating_SC,Myelin maintenance,EGR2,True,1.3409973258061434,True,19,20
Nonmyelinating_SC,Myelin maintenance,PMP22,True,0.3372498200690581,True,20,20
Nonmyelinating_SC,Myelin maintenance,MAG,True,1.366318711966294,True,19,20
Nonmyelinating_SC,Injury response,NGFR,True,1.3171736086296315,True,20,20
Nonmyelinating_SC,Injury response,ATF3,True,0.5648192687969628,True,20,20
Nonmyelinating_SC,Injury response,JUN,True,1.0308734448824912,True,20,20
Nonmyelinating_SC,Injury response,FOS,True,1.5584644068321334,True,20,20
Nonmyelinating_SC,Injury response,GDNF,True,1.1948496376678313,True,17,20
Nonmyelinating_SC,Injury response,RUNX2,True,0.4914664698792771,True,20,20
Repair_damage_SC,Myelin maintenance,MPZ,True,1.0687174317891823,True,19,19
Repair_damage_SC,Myelin maintenance,MBP,True,0.4604364469635793,True,19,19
Repair_damage_SC,Myelin maintenance,PRX,True,1.7255606948155109,True,17,19
Repair_damage_SC,Myelin maintenance,EGR2,True,1.845903932437572,True,14,19
Repair_damage_SC,Myelin maintenance,PMP22,True,0.4167659837105654,True,19,19
Repair_damage_SC,Myelin maintenance,MAG,True,1.539582275645656,True,12,19
Repair_damage_SC,Injury response,NGFR,True,0.888578487936586,True,19,19
Repair_damage_SC,Injury response,ATF3,True,0.6955008545075947,True,19,19
Repair_damage_SC,Injury response,JUN,True,0.8243260293518496,True,19,19
Repair_damage_SC,Injury response,FOS,True,2.760098782152704,True,16,19
Repair_damage_SC,Injury response,GDNF,True,0.8672588913080809,True,19,19
Repair_damage_SC,Injury response,RUNX2,True,0.7082792829638188,True,19,19
