annotation,disease,n_donors,eligible_donors,min_nuclei,max_nuclei,zero_donors
Refined Macro1,CIAP,11,2,3,22,0
Refined Macro1,CIDP,9,0,0,16,2
Refined Macro10,CIAP,11,0,1,18,0
Refined Macro10,CIDP,9,2,1,56,0
Refined Macro11,CIAP,11,3,1,27,0
Refined Macro11,CIDP,9,1,3,38,0
Refined Macro12,CIAP,11,5,2,37,0
Refined Macro12,CIDP,9,3,2,42,0
Refined Macro13,CIAP,11,4,6,40,0
Refined Macro13,CIDP,9,2,2,62,0
Refined Macro14,CIAP,11,5,4,41,0
Refined Macro14,CIDP,9,4,0,83,1
Refined Macro15,CIAP,11,5,0,38,1
Refined Macro15,CIDP,9,3,1,174,0
Refined Macro16,CIAP,11,0,2,13,0
Refined Macro16,CIDP,9,2,1,42,0
Refined Macro17,CIAP,11,0,1,17,0
Refined Macro17,CIDP,9,1,0,113,1
Refined Macro18,CIAP,11,1,0,20,1
Refined Macro18,CIDP,9,1,0,45,3
Refined Macro2,CIAP,11,6,6,64,0
Refined Macro2,CIDP,9,3,0,63,1
Refined Macro3,CIAP,11,2,5,40,0
Refined Macro3,CIDP,9,3,4,31,0
Refined Macro4,CIAP,11,3,6,26,0
Refined Macro4,CIDP,9,3,0,31,1
Refined Macro5,CIAP,11,1,3,32,0
Refined Macro5,CIDP,9,2,2,27,0
Refined Macro6,CIAP,11,6,8,38,0
Refined Macro6,CIDP,9,5,3,44,0
Refined Macro7,CIAP,11,3,6,44,0
Refined Macro7,CIDP,9,3,1,45,0
Refined Macro8,CIAP,11,4,11,30,0
Refined Macro8,CIDP,9,4,1,25,0
Refined Macro9,CIAP,11,5,8,58,0
Refined Macro9,CIDP,9,5,1,38,0
