annotation,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,q_eligible_refined_subtypes,q_eligible_annotation_definitions
Original macrophages,-0.6285336831572077,0.1625544865624504,-0.9700479867163254,-0.28701937959809,0.0011304995236335338,18,20,9,11,0.0010874365767340446,-0.34569352573646445,0.2828401574207432,,0.0016311548651010668
Original Macro2,-0.6304033002627513,0.16235622243852924,-0.9715010663541339,-0.2893055341713686,0.0010903231043025742,18,20,9,11,0.0010874365767340446,-0.3467218151445124,0.2836814851182388,,0.0016311548651010668
Refined macrophages,-0.39935003726752377,0.12874942313956392,-0.6698425380097531,-0.1288575365252944,0.006155550627403372,18,20,9,11,0.006237007458873189,-0.21964252049713764,0.1797075167703861,,0.006237007458873189
Refined Macro2,-0.3430330209333881,0.22207695132226107,-0.8681615657497967,0.18209552388302058,0.16634311487151238,7,9,3,6,0.09523809523809523,-0.228688680622257,0.11434434031113107,0.2857142857142857,
Refined Macro4,-0.4598732512342118,0.48841624319627436,-1.815934138955603,0.8961876364871793,0.39972914416426064,4,6,3,3,0.4,-0.22993662561710615,0.22993662561710562,0.6309523809523809,
Refined Macro6,-0.07921305202205825,0.22275828829458938,-0.5831273094603311,0.42470120541621464,0.7303315946319133,9,11,5,6,0.6623376623376623,-0.043207119284759135,0.036005932737299136,0.7451298701298701,
Refined Macro7,0.15166832795033433,0.2326385709493169,-0.4942398936421061,0.7975765495427748,0.5499989980638941,4,6,3,3,0.4,0.07583416397516683,-0.07583416397516747,0.6309523809523809,
Refined Macro8,-0.2875910431815921,0.14523676948533423,-0.6429726156572678,0.06779052929408358,0.0950037635592028,6,8,4,4,0.02857142857142857,-0.1437955215907959,0.14379552159079628,0.2571428571428571,
Refined Macro9,-0.1572467968903225,0.1906374611105286,-0.5968575705360248,0.2823639767553798,0.4333625462539392,8,10,5,5,0.42063492063492064,-0.07862339844516106,0.07862339844516143,0.6309523809523809,
Refined Macro12,0.22954754978844924,0.39031215404162467,-0.7255118855819266,1.184606985158825,0.5779058657060986,6,8,3,5,0.5714285714285714,0.14346721861778042,-0.0860803311706688,0.7346938775510203,
Refined Macro14,-0.013078199146868974,0.3069662186491807,-0.7389379641844549,0.7127815658907168,0.9672064584793958,7,9,4,5,0.9047619047619049,-0.007265666192705127,0.005812532954163829,0.9047619047619049,
Refined Macro15,-0.4541839350897739,0.20433492429273759,-0.9541734829444855,0.045805612764937664,0.06794099825384493,6,8,3,5,0.07142857142857142,-0.28386495943110873,0.17031897565866516,0.2857142857142857,
