gene,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,delta_z,n_case_above_zero,n_reference_above_zero,q_bh_available_genes
FCGR1A,0.7952166129857294,0.3624986075393571,0.03363529884960792,1.5567979271218508,0.04162688381579154,18,20,9,11,0.08056875653563067,4.246727085423964,3.451510472438234,0.8733271126215956,9,11,0.14770938698198957
FCGR2A,-0.7546810963699445,0.16312232026580167,-1.0973883742716246,-0.4119738184682644,0.00020968739932561846,18,20,9,11,0.0010874365767340446,7.287541138801227,8.04222223517117,-1.6369225058165944,9,11,0.007800774050328782
FCGR2B,-0.7734974866123998,0.4873526879174258,-1.797387490028832,0.2503925168040324,0.12989127735490394,18,20,9,11,0.17146020606432733,5.753777543314012,6.527275029926411,-0.83985658127831,9,11,0.2694374666725144
FCGR3A,-0.4162376193655534,0.45710537663511436,-1.3765803798509462,0.5441051411198392,0.3745425059940453,18,20,9,11,0.3619347669211923,4.552484864721006,4.968722484086559,-0.4089887562796907,9,11,0.44236471512590175
FCGR3B,-0.12793627434519333,0.7074927584191885,-1.6143234038189946,1.358450855128608,0.8585210900359006,18,20,9,11,0.9692916048630851,0.7442094382765689,0.8721457126217622,-0.08519325812591687,6,8,0.9692916048630852
FCGRT,-0.06286516477987802,0.20104235090844763,-0.48523947082530855,0.3595091412655525,0.758105347969125,18,20,9,11,0.648503379652976,7.594592527091844,7.657457691871723,-0.1353374720544029,9,11,0.7133537176182736
FCER1G,-0.8324897993943576,0.25245267047103914,-1.3628731789046717,-0.3021064198840435,0.004002388056992444,18,20,9,11,0.0014183225546052331,4.785084802552627,5.617574601946985,-1.4411572509307855,9,11,0.007800774050328782
TYROBP,-0.5892457493318783,0.18678327772405035,-0.9816628542507987,-0.196828644412958,0.005481500728464925,18,20,9,11,0.009791512077969673,5.8728473253773155,6.462093074709194,-0.9674454250899797,9,11,0.0269266582144166
SYK,-0.32559284573127,0.20565485821830706,-0.7576576700447571,0.10647197858221713,0.1307873623709259,18,20,9,11,0.2544505826463366,9.355924244907586,9.681517090638856,-0.9004400113514304,9,11,0.34986955113871276
LYN,-0.3440659979253333,0.1961960621066571,-0.7562586290137088,0.06812663316304218,0.09649585020804934,18,20,9,11,0.057519400395638395,9.255202691450423,9.599268689375757,-0.6988574321040046,9,11,0.1265426808704045
HCK,-0.8502763598381596,0.4358165924260915,-1.7658930443688807,0.06534032469256157,0.06680047137506763,18,20,9,11,0.0038893266021031467,7.557646061037649,8.407922420875808,-1.160667324031088,9,11,0.014260864207711539
