type,omitted,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference
center,Essen,-0.5296421023791016,0.271783077142783,-1.121806557744235,0.0625223529860321,0.0750888163313213,12,14,4,10,0.0239760239760239,-0.2707741713491739,0.2588679310299276
center,Münster,-0.6774170043652961,0.1754561191539727,-1.0635933188704605,-0.2912406898601317,0.0026492301474194,11,13,8,5,0.0031080031080031,-0.4733189824287968,0.2040980219364993
center,Würzburg,-0.7287106695132884,0.2377561834573737,-1.252008501022993,-0.2054128380035838,0.0107564779632278,11,13,6,7,0.0046620046620046,-0.4234231092200159,0.3052875602932724
gene,FCGR1A,-0.8274866017062203,0.2015062226551915,-1.2508354661282302,-0.4041377372842105,0.0006625606373904,18,20,9,11,0.000829246298065,-0.4873812192805896,0.3401053824256306
gene,FCGR2A,-0.5764616398624013,0.1842553038951405,-0.9635676688470124,-0.18935561087779,0.0058042755728758,18,20,9,11,0.0049383556786442,-0.3670604978486936,0.2094011420137076
gene,FCGR2B,-0.6561682323162297,0.2019814632836007,-1.0805155402488826,-0.2318209243835767,0.0044585947348195,18,20,9,11,0.0018399329318952,-0.3799868526294397,0.2761813796867901
gene,FCGR3A,-0.6992550148160916,0.1831902887220062,-1.0841235299502738,-0.3143864996819094,0.0012623669698793,18,20,9,11,0.0014183225546052,-0.3996072232010051,0.2996477916150865
gene,FCGR3B,-0.731634564631469,0.1733096598499313,-1.0957446487968672,-0.3675244804660708,0.0005130703202893,18,20,9,11,0.000829246298065,-0.4519888190721721,0.279645745559297
gene,FCGRT,-0.7266201432386205,0.194984938264691,-1.136268297553948,-0.316971988923293,0.0015445802515165,18,20,9,11,0.000829246298065,-0.4244709820674783,0.3021491611711422
gene,FCER1G,-0.5960381653509822,0.1627822357454586,-0.9380309521883288,-0.2540453785136355,0.0017850696327572,18,20,9,11,0.0014183225546052,-0.3655394238458493,0.2304987415051329
gene,TYROBP,-0.6434093479350628,0.1728103527988125,-1.0064704269119176,-0.2803482689582079,0.0015560953720407,18,20,9,11,0.0014183225546052,-0.4148601791937126,0.2285491687413502
gene,SYK,-0.6501098893089179,0.1436731397348761,-0.9519559551685496,-0.3482638234492861,0.0002621891814168,18,20,9,11,0.0004744330871815,-0.426364970433778,0.2237449188751397
gene,LYN,-0.6702681472336603,0.1725315867592857,-1.0327435604940027,-0.307792733973318,0.0010853275674199,18,20,9,11,0.0018399329318952,-0.4252708235371115,0.2449973236965487
gene,HCK,-0.6240871580409519,0.1492245287946333,-0.9375962595301806,-0.3105780565517234,0.0005599276368176,18,20,9,11,0.001087436576734,-0.385916742313438,0.238170415727514
