comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison,q_bh_all_cell_module_tests
CIDP_vs_CIAP,Macrophage,BNB_identity_integrity,9,11,0.10422850057587676,0.05006263788860577,0.05416586268727099,0.648503379652976,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Leukocyte_transmigration,9,11,-0.1680079568841136,0.1772057311682146,-0.3452136880523282,0.018513473775353916,0.07405389510141566,0.44530861785624015
CIDP_vs_CIAP,Macrophage,CXCL8_CXCR1_2,9,11,0.03700838850314089,0.15161449590235831,-0.11460610739921742,0.8790477722505494,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,LIF_LIFR,9,11,-0.005295921040989526,-0.009803085259077275,0.0045071642180877485,0.9394400080349974,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Complement,9,11,-0.1522857303404053,-0.0429192185498081,-0.1093665117905972,0.8197075378297883,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Fc_receptor,9,11,-0.4116770666748427,0.2611901064561218,-0.6728671731309646,0.0010874365767340446,0.008699492613872357,0.08699492613872357
CIDP_vs_CIAP,Macrophage,Macrophage_state,9,11,-0.20840547667910214,0.1597570624344982,-0.3681625391136003,0.03339814633921801,0.08906172357124803,0.44530861785624015
CIDP_vs_CIAP,Macrophage,Schwann_myelin_repair,9,11,-0.014361242710981461,0.07528888843104337,-0.08965013114202483,0.5948534237883254,0.9394400080349974,1.0
CIDP_vs_CIAP,T_NK,BNB_identity_integrity,9,11,-0.02325695224561428,0.026305791392501807,-0.04956274363811609,0.9394400080349974,0.9394400080349974,1.0
CIDP_vs_CIAP,T_NK,Leukocyte_transmigration,9,11,-0.13924854458777602,0.10779341192575247,-0.2470419565135285,0.08056875653563067,0.6445500522850454,0.6309226352473035
CIDP_vs_CIAP,T_NK,CXCL8_CXCR1_2,9,11,0.2892005887045745,-0.027818775887278727,0.3170193645918532,0.33000250336386605,0.9394400080349974,1.0
CIDP_vs_CIAP,T_NK,LIF_LIFR,9,11,-0.10683790494540626,-0.18019161105824918,0.07335370611284292,0.5948534237883254,0.9394400080349974,1.0
