figure,title,legend
Figure_1,Figure 1. Study questions and data sources,"Blood gene modules identify recurring immune signals, published CSF protein coefficients provide related protein measurements, and nerve expression identifies the cells and programmes involved. The three analyses use separate participant cohorts. Direct GBS versus CIDP comparisons come from the CSF replication cohort. Normal BNB expression, published tissue observations and genetic candidate localisation support interpretation of the nerve findings. The diagram shows the analytical sequence, not a temporal sequence within disease."
Figure_2,Figure 2. Acute GBS blood modules across cohorts,"(A) Hedges g for seven gene modules in whole blood, leukocytes and monocyte pseudobulk. Asterisks mark q < 0.05 after correction within each cohort. (B) Random effects pooled estimates with 95% confidence intervals from the modified Hartung and Knapp method. All intervals include zero. (C) Pooled estimates after each cohort was omitted. CXCL8 recruitment and complement remained positive in every subset, with both individual effects positive in each retained pair."
Figure_3,Figure 3. Synthesis of published CSF protein coefficients,"(A) All 11 proteins with paired GBS versus healthy control coefficients in source Tables 3 and 4B, adjusted for age, sex and CCL19 [36]. (B) Fixed effect and DerSimonian and Laird random effects pooled estimates. Panels A and B display normal approximation 95% intervals. All 11 modified Hartung–Knapp intervals include zero and are listed in Additional file 1. (C) All ten reported GBS versus CIDP coefficients. (D) All six reported CIDP versus healthy control coefficients. Panels C and D use participants from the same replication cohort. In panels C and D, orange marks the original source q < 0.05. Their intervals were reconstructed from the published standard errors using a normal approximation and may differ from the original small sample tests. NPX, normalised protein expression."
Figure_4,Figure 4. Immune and repair modules in CIDP nerve,"(A) Mean donor log2(CPM + 0.5) expression in seven CIDP cell groups. Dots have equal area and share one colour scale. (B) Mean CIDP minus CIAP differences for the original modules. Diamonds mark q < 0.05 across eight modules within a cell group. The macrophage Fc receptor result has q = 0.099 across the expanded 91 test family. Earlier corrections are retained in the source tables. (C) Mean differences in cell fractions. The rank tests in B and C treat donors as independent samples. (D) Macrophage Fc receptor differences with HC3 95% intervals before and after adjustment for age, centre and two composition components. These model intervals are separate from the rank tests used to calculate module q values. BNB EC, endoneurial microvascular endothelium. mySC, nmSC and repairSC, myelinating, nonmyelinating and pooled repair and damage Schwann cells. Supplementary Figures 3 and 4 contain the full sensitivity analyses."
Figure_5,Figure 5. Separate endothelial and Schwann cell programmes,"(A) Junction, transport and inflammatory adhesion gene sets in endoneurial endothelium. (B) Myelin maintenance and injury response gene sets in three Schwann cell groups. Points show mean CIDP minus CIAP differences before and after adjustment for age and centre, with HC3 95% intervals. The new scores standardise genes across eligible CIDP and CIAP donors. All nine comparisons have q > 0.05 across both the nine new tests and the expanded 91 test family. Unadjusted q values come from rank tests and are separate from the displayed model intervals. (C, D) The two scores in relation to INCAT disability in nine CIDP donors from the pooled repair and damage group. Exact P values use all 362,880 permutations and preserve tied ranks. Displayed q values combine these two exact tests with the 15 archived clinical tests. Neither association meets q < 0.05. Abbreviations are defined in Figure 4."
Supplementary_Figure_1,Supplementary Figure 1. Donor bootstrap intervals for genetic candidate expression,"Points show mean log2(CP10k + 1) across eligible CIDP donors. Bars show percentile 95% intervals from 5000 resamples within each gene and cell group. Resampling was performed at donor level with random seed 20260904. The intervals quantify uncertainty in the donor mean for each gene and cell group. The source values and eligible donor counts are provided in the Genetic_bootstrap worksheet of Additional file 1. This localisation workflow did not impose the 20 nucleus cutoff used for pseudobulk modules. Eight of the nine CIDP B cell samples contained fewer than 20 nuclei, limiting precision for that population."
Supplementary_Figure_2,Supplementary Figure 2. Published nerve observations and complement deposition,"Stascheit et al. reported deposition of the terminal complement complex on endoneurial capillaries in 52 of 55 biopsies from patients with CIDP or its variants, together with histological and proteomic findings [37]. The proportion of 94.5% and Wilson 95% interval of 85.1% to 98.1% were calculated from the published count. The other observations summarise qualitative findings from the source study associated with PXD056286. The proteomic subset comprised nine CIDP cases and two controls. Higher C3, C5 and C9 abundance was reported, while C6 protein was elevated in only two cases."
Supplementary_Figure_3,Supplementary Figure 3. Fc module components and donor sensitivity analyses,"(A) Differences in mean log2(CPM + 0.5) for the 11 measured genes, calculated as CIDP minus CIAP. FCGR2C was absent from the matrix. Displayed q values were derived from two sided Mann and Whitney tests with Benjamini and Hochberg correction across the 11 genes. Points and bars show mean differences and unadjusted 95% confidence intervals from separate ordinary least squares models with HC3 covariance and residual degrees of freedom. These intervals do not correspond to the rank tests used to calculate q values. (B) Module score differences under demographic and composition sensitivity analyses, with HC3 95% confidence intervals. Standardisation within the 20 CIDP and CIAP donors changes the score scale. The exact permutation test within centres gave P = 0.0048 and is reported separately from the model intervals. The original module q value was 0.0087 within eight macrophage modules and 0.087 across all 80 eligible module tests. These exploratory analyses followed the initial Fc module observation. When the nine new programme tests are included, the original Fc module result has q = 0.097 across 89 tests."
Supplementary_Figure_4,Supplementary Figure 4. Fc scores under alternative macrophage annotations,"The original and refined annotations represent distinct classification levels. The refined union contains Macro1 through Macro18. Eligibility requires at least 20 nuclei per donor and three donors per diagnosis. Original Macro1 was ineligible. Points and bars show mean score differences calculated as CIDP minus CIAP, with unadjusted HC3 95% confidence intervals. Genes are standardised across eligible CIDP and CIAP donors within each annotation. Parentheses give CIDP and CIAP donor counts. Subtype q values were derived from two sided Mann and Whitney tests with Benjamini and Hochberg correction across nine subtypes, and all exceed 0.05. The three broader definition checks form a separate testing family. The HC3 intervals describe mean differences and do not correspond to the rank tests used for q values."
Supplementary_Figure_5,Supplementary Figure 5. Cellular expression of published genetic candidates,"(A) Donor mean expression and detection for CDH4, DIRAS1, GNG7 and SLC39A3. Colour shows the mean of donor mean log2(CP10k + 1) values. Dot area is proportional to the mean donor percentage of expressing nuclei, with crosses for zero detection. Each summary gives equal weight to nine CIDP donors. This workflow did not apply the 20 nucleus pseudobulk cutoff. Eight of nine CIDP B cell groups contained fewer than 20 nuclei. (B) Published estimates from Du et al. used for candidate selection [32]. The CDH4 odds ratio concerns rs80339443 in women. MR denotes Mendelian randomisation and PP.H4 the posterior probability of a shared causal variant. (C) CIDP minus CIAP donor mean expression. All displayed q values exceed 0.05 after correction within the original candidate screening family. These expression summaries do not establish genetic mediation. Abbreviations follow Figure 4."
Supplementary_Figure_6,Supplementary Figure 6. Original nerve module correlations with disability,"Spearman correlations between the 15 original combinations of cell group and gene module and INCAT disability in nine CIDP donors. All original q values exceed 0.05 after correction across 15 tests. The combined myelin and repair score in repair and damage Schwann cells has ρ = 0.840, P = 0.0046 and q = 0.069. These archived tests use asymptotic P values. The two separated programme correlations are reported in main Figure 5 using exact P values and an expanded 17 test correction. The original correlations are preserved without changing their P values."
Supplementary_Figure_7,Supplementary Figure 7. Selected endothelial genes in normal human BNB preparations,"Expression of all 11 genes in the endothelial junction, transport and inflammatory adhesion sets in GSE107574. Colour shows log2(FPKM + 1). The first two columns are cultured endothelial preparations at different passages, followed by four laser captured normal nerve preparations. White lines separate preparations and gene sets. All 11 genes were detected in at least two of the four nerve preparations. These samples provide anatomical expression context and contain no CIDP comparison. They are not independent disease validation and were not treated as six independent patients."
