Input ID,Resource / accession,Original filename or published extract,Source URL,Expected local input or extracted-results file,Processing script / use,Source and access notes
F01,GSE211225,GSE211225_gene_counts_matrix_deseq.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211225/suppl/GSE211225_gene_counts_matrix_deseq.txt.gz,data/raw/GSE211225/GSE211225_gene_counts_matrix_deseq.txt.gz,analysis/03_gbs_blood_crosscohort.py,Count matrix filename is recorded in the archived script. GEO series page: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211225
F02,GSE211225,GSE211225_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211225/matrix/GSE211225_series_matrix.txt.gz,data/raw/GSE211225/GSE211225_series_matrix.txt.gz,analysis/03_gbs_blood_crosscohort.py,Series metadata used to map count-matrix columns to sample accessions and diagnostic groups. Filename is recorded in the archived script.
F03,GSE31014,GSE31014_series_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31014/matrix/GSE31014_series_matrix.txt.gz,data/raw/GSE31014/GSE31014_series_matrix.txt.gz,analysis/03_gbs_blood_crosscohort.py,Deposited processed expression values. Filename is recorded in the archived script. GEO series page: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31014
F04,GPL96 / GSE31014,GPL96.annot.gz,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL96/annot/GPL96.annot.gz,data/raw/GSE31014/GPL96.annot.gz,analysis/03_gbs_blood_crosscohort.py,"Probe-to-gene annotation. Highest-variance probe retained per mapped gene. This is an annotation file, not an independent cohort."
F05,GSE285983,GSE285983_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285983/suppl/GSE285983_RAW.tar,data/raw/GSE285983/GSE285983_RAW.tar; extracted files in data/raw/GSE285983/h5/,scripts/download_gse285983.sh; analysis/01_cidp_nerve_pseudobulk.py,CellBender count files. Archive filename and URL are recorded in the download script. The release does not include a complete per-member filename manifest.
F06,GSE285983,GSE285983_metadata_all.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285983/suppl/GSE285983_metadata_all.csv.gz,data/raw/GSE285983/GSE285983_metadata_all.csv.gz,scripts/download_gse285983.sh; analysis/01_cidp_nerve_pseudobulk.py,"Original cell annotations and donor metadata. The parser reads sample, barcode, cluster, level2, age, sex, center, disease_duration_in_months and incat. The public appendix provides the source link, without reproducing donor records."
F07,PRJNA1293757 / Mendeley f2523nkt3m.2,HPBMC1: outs/filtered_feature_bc_matrix.h5 (archive member),https://data.mendeley.com/public-files/datasets/f2523nkt3m/files/76364a09-c551-4648-80b2-2ae4d5e868b9/file_downloaded,data/raw/PRJNA1293757/HPBMC1/filtered_feature_bc_matrix.h5,scripts/download_prjna1293757_processed.sh; analysis/02_prjna1293757_pseudobulk.py,Exact file URL and internal matrix name are recorded in the download script. The outer archive filename is not recorded. Versioned landing page: https://data.mendeley.com/datasets/f2523nkt3m/2. HPBMC1 is also the gene-ID annotation input for analysis/03_gbs_blood_crosscohort.py.
F08,PRJNA1293757 / Mendeley f2523nkt3m.2,HPBMC2: outs/filtered_feature_bc_matrix.h5 (archive member),https://data.mendeley.com/public-files/datasets/f2523nkt3m/files/e6f0e310-82ee-481b-b33e-a3af41cd5e5d/file_downloaded,data/raw/PRJNA1293757/HPBMC2/filtered_feature_bc_matrix.h5,scripts/download_prjna1293757_processed.sh; analysis/02_prjna1293757_pseudobulk.py,Exact file URL and internal matrix name are recorded in the download script. The outer archive filename is not recorded. Versioned landing page: https://data.mendeley.com/datasets/f2523nkt3m/2. HPBMC1 is also the gene-ID annotation input for analysis/03_gbs_blood_crosscohort.py.
F09,PRJNA1293757 / Mendeley f2523nkt3m.2,PBMC1: outs/filtered_feature_bc_matrix.h5 (archive member),https://data.mendeley.com/public-files/datasets/f2523nkt3m/files/99b434b4-dc24-4e20-8d78-bb4c12da9231/file_downloaded,data/raw/PRJNA1293757/PBMC1/filtered_feature_bc_matrix.h5,scripts/download_prjna1293757_processed.sh; analysis/02_prjna1293757_pseudobulk.py,Exact file URL and internal matrix name are recorded in the download script. The outer archive filename is not recorded. Versioned landing page: https://data.mendeley.com/datasets/f2523nkt3m/2. HPBMC1 is also the gene-ID annotation input for analysis/03_gbs_blood_crosscohort.py.
F10,PRJNA1293757 / Mendeley f2523nkt3m.2,PBMC2: outs/filtered_feature_bc_matrix.h5 (archive member),https://data.mendeley.com/public-files/datasets/f2523nkt3m/files/8dedb442-be70-43da-8de6-ba12edc82114/file_downloaded,data/raw/PRJNA1293757/PBMC2/filtered_feature_bc_matrix.h5,scripts/download_prjna1293757_processed.sh; analysis/02_prjna1293757_pseudobulk.py,Exact file URL and internal matrix name are recorded in the download script. The outer archive filename is not recorded. Versioned landing page: https://data.mendeley.com/datasets/f2523nkt3m/2. HPBMC1 is also the gene-ID annotation input for analysis/03_gbs_blood_crosscohort.py.
F11,PRJNA1293757 / Mendeley f2523nkt3m.2,PBMC3: outs/filtered_feature_bc_matrix.h5 (archive member),https://data.mendeley.com/public-files/datasets/f2523nkt3m/files/bd84c8f0-640c-4d43-b410-2bc5e979ec20/file_downloaded,data/raw/PRJNA1293757/PBMC3/filtered_feature_bc_matrix.h5,scripts/download_prjna1293757_processed.sh; analysis/02_prjna1293757_pseudobulk.py,Exact file URL and internal matrix name are recorded in the download script. The outer archive filename is not recorded. Versioned landing page: https://data.mendeley.com/datasets/f2523nkt3m/2. HPBMC1 is also the gene-ID annotation input for analysis/03_gbs_blood_crosscohort.py.
F12,GSE107574,Published normal human BNB reference,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107574,source_data/Datasets.csv,Contextual reference; no dedicated raw-matrix processing step is documented.,Descriptive BNB identity reference. No separately processed matrix filename is documented in the supplied release.
F13,PXD002911,Published protein / peptide counts and annotations,https://www.ebi.ac.uk/pride/archive/projects/PXD002911,source_data/CSF_PXD002911.csv,analysis/04_compile_published_csf_evidence.py,Study-reported group identifications and annotations; raw mass-spectrometry files were not reanalyzed.
F14,D’Aguanno et al. 2010,Published complement and inflammatory-protein findings,https://pubmed.ncbi.nlm.nih.gov/20801190/,source_data/CSF_published_evidence.csv,analysis/04_compile_published_csf_evidence.py,Article-derived evidence. No individual-level CSF matrix is supplied or claimed.
F15,Ding et al. 2022,Published proteomic findings,https://doi.org/10.1111/ene.15213,source_data/CSF_published_evidence.csv,analysis/04_compile_published_csf_evidence.py,Article-derived evidence. No raw proteomic filename is claimed.
F16,Sun et al. 2025,Published inflammatory proteins and CSF measurements,https://doi.org/10.2147/JIR.S507515,source_data/CSF_published_evidence.csv,analysis/04_compile_published_csf_evidence.py,"Article-derived evidence, recorded at the inference level of the source report."
F17,Kmezic et al. 2023,Published adjusted coefficients and standard errors for eight proteins,https://doi.org/10.3389/fimmu.2023.1241199,source_data/CSF_Kmezic_published_coefficients.csv,analysis/08_extended_validation.py: csf_meta,"Coefficients from discovery and replication cohorts, adjusted in the original study. No participant-level Olink matrix was reconstructed."
F18,Du et al. 2024,Published CIDP genetic estimates,https://doi.org/10.1016/j.xhgg.2024.100317,source_data/CIDP_genetic_evidence.csv,analysis/05_compile_genetic_cell_localization.py,"Candidate selection uses published GWAS, MR and colocalization findings. Custom FinnGen GWAS summary statistics are described by the source as available on request; they were not independently reanalyzed here."
F19,PXD056286 / Stascheit et al. 2025,Published biopsy count and histological / proteomic observations,https://doi.org/10.1007/s00401-025-02936-w,results/tables/cidp_external_nerve_validation.csv,analysis/08_extended_validation.py: external_nerve_validation,Reported 52/55 count is used to calculate a proportion and Wilson interval. Raw histology and mass-spectrometry files were not independently reanalyzed. PRIDE: https://www.ebi.ac.uk/pride/archive/projects/PXD056286
