dataset,comparison,module,n_genes,genes_available,n_case,n_reference,mean_case,mean_reference,delta,hedges_g,permutation_p,welch_p,module_fdr_within_comparison,module_label
GSE211225,Acute_GBS_vs_HC,CXCL8_CXCR1_2,3,CXCL8;CXCR1;CXCR2,6,6,0.5041198786573506,-0.2183936894172938,0.7225135680746445,1.2495713770194623,0.0389610389610389,0.0436761038754158,0.0454545454545454,CXCL8–CXCR1/2
GSE211225,Acute_GBS_vs_HC,LIF_LIFR_IL6ST,9,LIF;LIFR;IL6;IL6R;IL6ST;OSM;OSMR;STAT3;SOCS3,6,6,0.442644078213714,-0.4377327825275738,0.8803768607412878,2.193899016551549,0.0021645021645021,0.0020893201064704,0.0075757575757575,LIF/OSM–gp130
GSE211225,Acute_GBS_vs_HC,Complement,18,C1QA;C1QB;C1QC;C2;C3;C4A;C4B;C5;CFB;CFD;CFH;CFI;SERPING1;C3AR1;C5AR1;CR1;CD55;CD59,6,6,0.4294983875409301,-0.1646661654987261,0.5941645530396562,2.4875321333096894,0.0021645021645021,0.0022842177835131,0.0075757575757575,Complement
GSE211225,Acute_GBS_vs_HC,Fc_receptor,11,FCGR1A;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FCGRT;FCER1G;TYROBP;SYK;LYN;HCK,6,6,0.578277250405412,-0.104806927012008,0.6830841774174201,1.3553135270779009,0.0216450216450216,0.0412957231850508,0.0378787878787878,Fc receptor
GSE211225,Acute_GBS_vs_HC,Transendothelial_migration,24,ITGAM;ITGAL;ITGA4;ITGB1;ITGB2;SELL;SELPLG;CCR1;CCR2;CCR5;CX3CR1;ICAM1;VCAM1;SELE;SELP;PECAM1;JAM2;JAM3;ALCAM;MMP3;MMP9;CCL2;CCL4;CCL20,6,6,0.2756188494012966,0.0575667311048903,0.2180521182964062,0.9231847966859392,0.1255411255411255,0.1150784873511859,0.1255411255411255,Transendothelial migration
GSE211225,Acute_GBS_vs_HC,Interferon_JAK_STAT,14,IFNB1;IFNG;STAT1;STAT2;IRF1;IRF7;ISG15;IFI6;IFIT1;IFIT3;MX1;OAS1;JAK1;JAK2,6,6,0.4013433295004158,-0.2726272249087989,0.6739705544092147,1.073728510692789,0.0346320346320346,0.0948129191561636,0.0454545454545454,Interferon/JAK–STAT
GSE211225,Acute_GBS_vs_HC,Inflammatory_monocyte,13,CD14;FCGR3A;LYZ;S100A8;S100A9;S100A12;IL1B;TNF;NLRP3;PYCARD;OSM;CD163;C5AR1,6,6,0.7783986886292973,-0.1621807434353172,0.9405794320646144,1.9318959720517768,0.0064935064935064,0.0061518481820329,0.0151515151515151,Inflammatory monocyte
GSE211225,Acute_GBS_vs_Postacute_GBS,CXCL8_CXCR1_2,3,CXCL8;CXCR1;CXCR2,6,10,0.5041198786573506,-0.1714357135440359,0.6755555922013865,0.714771673669443,0.1644605394605394,0.0999600870585505,0.1644605394605394,CXCL8–CXCR1/2
GSE211225,Acute_GBS_vs_Postacute_GBS,LIF_LIFR_IL6ST,9,LIF;LIFR;IL6;IL6R;IL6ST;OSM;OSMR;STAT3;SOCS3,6,10,0.442644078213714,-0.0029467774116783,0.4455908556253923,0.9333428008115092,0.079045954045954,0.060936467193257,0.1106643356643356,LIF/OSM–gp130
GSE211225,Acute_GBS_vs_Postacute_GBS,Complement,18,C1QA;C1QB;C1QC;C2;C3;C4A;C4B;C5;CFB;CFD;CFH;CFI;SERPING1;C3AR1;C5AR1;CR1;CD55;CD59,6,10,0.4294983875409301,-0.1588993332253198,0.58839772076625,1.347121379293097,0.0174825174825174,0.0074691196229907,0.0407925407925407,Complement
GSE211225,Acute_GBS_vs_Postacute_GBS,Fc_receptor,11,FCGR1A;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FCGRT;FCER1G;TYROBP;SYK;LYN;HCK,6,10,0.578277250405412,-0.2840821940360462,0.8623594444414582,1.2315994325678017,0.0264735264735264,0.008730941234425,0.0463286713286713,Fc receptor
GSE211225,Acute_GBS_vs_Postacute_GBS,Transendothelial_migration,24,ITGAM;ITGAL;ITGA4;ITGB1;ITGB2;SELL;SELPLG;CCR1;CCR2;CCR5;CX3CR1;ICAM1;VCAM1;SELE;SELP;PECAM1;JAM2;JAM3;ALCAM;MMP3;MMP9;CCL2;CCL4;CCL20,6,10,0.2756188494012966,-0.1999113483037093,0.475530197705006,1.5851414211292922,0.0063686313686313,0.004273969668131,0.0236013986013986,Transendothelial migration
GSE211225,Acute_GBS_vs_Postacute_GBS,Interferon_JAK_STAT,14,IFNB1;IFNG;STAT1;STAT2;IRF1;IRF7;ISG15;IFI6;IFIT1;IFIT3;MX1;OAS1;JAK1;JAK2,6,10,0.4013433295004158,-0.077229662754977,0.4785729922553928,0.7974322036269286,0.1166333666333666,0.2152536000970999,0.136072261072261,Interferon/JAK–STAT
GSE211225,Acute_GBS_vs_Postacute_GBS,Inflammatory_monocyte,13,CD14;FCGR3A;LYZ;S100A8;S100A9;S100A12;IL1B;TNF;NLRP3;PYCARD;OSM;CD163;C5AR1,6,10,0.7783986886292973,-0.3697307671163856,1.148129455745683,1.6772002360452696,0.0067432567432567,0.0011724239704654,0.0236013986013986,Inflammatory monocyte
