cell_group,gene,n_donors,total_nuclei,mean_expression,mean_percent_expressing
BNB_EC,CDH4,9,2470,0.0015510372558428,0.11456430433900103
BNB_EC,DIRAS1,9,2470,0.0,0.0
BNB_EC,GNG7,9,2470,0.24526385157966624,11.439215736118008
BNB_EC,SLC39A3,9,2470,0.031572236697130045,1.4941730559501585
B_cell,CDH4,9,100,0.013084175889585489,0.6172839506172839
B_cell,DIRAS1,9,100,0.008597978315105677,0.7936507936507936
B_cell,GNG7,9,100,1.5194353578913578,50.54266720933387
B_cell,SLC39A3,9,100,0.0,0.0
Endoneurial_stroma,CDH4,9,9412,0.12040442615714933,5.490702666268295
Endoneurial_stroma,DIRAS1,9,9412,0.00037550754206176664,0.01983612697957499
Endoneurial_stroma,GNG7,9,9412,0.022889349222062944,1.2593024022010542
Endoneurial_stroma,SLC39A3,9,9412,0.004855583235347277,0.273271395124745
Epineurial_stroma,CDH4,9,6853,0.2864875298765035,11.788745919638329
Epineurial_stroma,DIRAS1,9,6853,0.00044283690605508887,0.04160367886422933
Epineurial_stroma,GNG7,9,6853,0.0478088822163104,2.540948807818036
Epineurial_stroma,SLC39A3,9,6853,0.009872568444135811,0.6441552637787191
Macrophage,CDH4,9,3463,0.032677921755464634,1.9405174213507586
Macrophage,DIRAS1,9,3463,0.0011590997873328556,0.08340144717549547
Macrophage,GNG7,9,3463,0.5028301779068304,19.177603245451337
Macrophage,SLC39A3,9,3463,0.007770168682461399,0.49382234214120835
Myelinating_SC,CDH4,9,3170,0.272636741456967,11.241331946708248
Myelinating_SC,DIRAS1,9,3170,0.0,0.0
Myelinating_SC,GNG7,9,3170,0.04124233538164072,2.1666717804516598
Myelinating_SC,SLC39A3,9,3170,0.026514060043493468,1.5889462669709462
Nonmyelinating_SC,CDH4,9,20696,0.31255381882776617,11.270567056676555
Nonmyelinating_SC,DIRAS1,9,20696,0.0013399406915935333,0.0653091575008436
Nonmyelinating_SC,GNG7,9,20696,0.13188996595853264,5.154908730756882
Nonmyelinating_SC,SLC39A3,9,20696,0.010868150617642156,0.5344750214422559
Pericyte_VSMC,CDH4,9,15243,0.00501517760103239,0.347798861986657
Pericyte_VSMC,DIRAS1,9,15243,0.001915786620235622,0.07471597683635574
Pericyte_VSMC,GNG7,9,15243,0.0814270104466952,3.9744068164388673
Pericyte_VSMC,SLC39A3,9,15243,0.015490805149753055,0.8683562760058736
Perineurium,CDH4,9,26087,0.025713785135424647,1.421133949066055
Perineurium,DIRAS1,9,26087,0.0006962907959832111,0.03931597986649146
Perineurium,GNG7,9,26087,0.10083382415350424,4.975471572716221
Perineurium,SLC39A3,9,26087,0.011168292277614122,0.6002540522931525
Repair_damage_SC,CDH4,9,1759,0.3647682844078966,15.496704202768875
Repair_damage_SC,DIRAS1,9,1759,0.012801001313675155,0.7858618805990156
Repair_damage_SC,GNG7,9,1759,0.2117949242561462,11.565720179275454
Repair_damage_SC,SLC39A3,9,1759,0.006854867173426811,0.5433464273324005
