Figure or table,Data file,Content,Attribution
1A,source_data/Datasets.csv,Study design and resource roles,Schematic based on resource metadata
1B,source_data/Cross_compartment_map.csv,Complementary analytical roles,Conceptual schematic without causal or temporal inference
2A,source_data/Blood_cohort_effects.csv,Seven modules in three cohorts,Our previously computed cohort effects
2B,source_data/Blood_meta.csv,Random effects synthesis,Our recomputation using modified Hartung-Knapp intervals
2C,source_data/Figure_2C_leave_one_cohort_out.csv,Leave one cohort out,Our recomputation
3A,source_data/CSF_Kmezic_published_coefficients.csv,Adjusted coefficients and standard errors,Published statistics from Kmezic et al.
3B,results/tables/csf_kmezic_adjusted_meta.csv,Fixed effect pooling of ten non-IL10 non-IL8 proteins,Our computation from published statistics
3C,source_data/Figure_3C_coverage.csv,Counts of studies and assay types for selected programs; concentration measurements grouped as one assay type,Our descriptive tally of selected published evidence
4A,source_data/Figure_4A_mean_expression.csv,Equal-area expression dots in seven nerve cell groups,"Arithmetic mean of donor log2(CPM + 0.5), nine CIDP donors per displayed group. Fully vector plot."
4B,source_data/CIDP_module_effects.csv,CIDP versus CIAP module scores,Our donor level unadjusted Mann-Whitney comparisons
4C,source_data/CIDP_cell_fractions.csv,Cell fraction differences,Our unadjusted donor comparisons
4D,results/tables/cidp_clinical_correlations_with_fdr.csv,INCAT correlations,Our Spearman correlations. Colors indicate nominal P values
5A,source_data/Figure_5A_evidence_types.csv,Evidence type stated separately in every compartment cell,"Statistical tests, published findings and expression localisation are nominal categories, not a common evidence ranking. IFN source tables are supplied as separate CSV files."
5B,source_data/Figure_5B_donor_mean_expression_and_detection.csv,CIDP candidate expression and detection across ten nerve cell groups,Dot area: arithmetic mean of donor percentages. Colour: mean donor log2(CP10k + 1). Nine CIDP donors with equal weights.
5C,source_data/CIDP_genetic_evidence.csv,Genetic estimates and candidate selection,"Published Du et al. GWAS, MR and colocalization estimates"
5D,source_data/Figure_5D_genetic_expression_contrasts.csv,Four genes in ten cell groups,Our archived CIDP versus CIAP contrasts. All displayed FDR values exceed 0.05
S1,results/tables/genetic_cell_localization_bootstrap.csv,Donor bootstrap intervals,Our 5000 resample bootstrap
S2,results/tables/cidp_external_nerve_validation.csv,External published nerve observations,Published 52 of 55 count. Only proportion and Wilson interval calculated here
Table 1,tables/Table_1_v2.3.1.csv,Resource table,Manuscript text retained in release v2.3.1
Table 2,tables/Table_2_v2.3.1.csv,Blood synthesis table,Rounded blood synthesis values retained in release v2.3.1
Table 3,source_data/Table_3.csv,Evidence integration table,"Revised manuscript evidence table, release v2.3.1"
Supplementary Figure 3,strengthening_v41/results/fc_component_genes.csv and fc_sensitivity.csv and fc_composition_adjustment.csv,Fc gene estimates and demographic and composition checks,New exploratory analyses in the original nerve cohort
Supplementary Figure 4,strengthening_v41/results/fc_annotation_sensitivity.csv,Original and refined annotation comparisons,Reaggregation of 20 original count matrices. Not external replication
