program,gene,original_gene_id,sample,preparation,fpkm,source_url
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,P3pHEnd_EC,Cultured endothelial cells,308.62,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,P8_pHEnd_EC_basal,Cultured endothelial cells,415.48,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,32P1,Laser captured normal microvessels,2.57,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,203P1,Laser captured normal microvessels,11.13,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,346P1,Laser captured normal microvessels,15.42,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,347P1,Laser captured normal microvessels,41.71,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,P3pHEnd_EC,Cultured endothelial cells,1.83,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,P8_pHEnd_EC_basal,Cultured endothelial cells,1.06,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,32P1,Laser captured normal microvessels,9.53,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,203P1,Laser captured normal microvessels,41.89,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,347P1,Laser captured normal microvessels,13.97,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,P3pHEnd_EC,Cultured endothelial cells,38.55,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,P8_pHEnd_EC_basal,Cultured endothelial cells,26.74,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
