protein,contrast,cohort,beta,se,source_p,source_q,n_case,n_reference,source_table,availability,specimen,scale,adjustment,source_url,verification_date,normal_ci_low,normal_ci_high,interval_method
SELE,GBS versus HC,Discovery,1.79,0.377,0.0004,0.0086,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,1.0510935778283996,2.5289064221716004,Normal approximation from printed SE. Source P and q retained separately.
SELE,GBS versus HC,Replication,2.33,0.766,0.0188,0.0446,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.8286675878423186,3.8313324121576815,Normal approximation from printed SE. Source P and q retained separately.
IL2RA,GBS versus HC,Discovery,0.741,0.234,0.0075,0.0466,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.2823684276176273,1.1996315723823727,Normal approximation from printed SE. Source P and q retained separately.
IL2RA,GBS versus HC,Replication,2.47,0.313,9.94e-05,0.0019,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,1.8565312728389634,3.083468727161037,Normal approximation from printed SE. Source P and q retained separately.
CCL3,GBS versus HC,Discovery,0.836,0.27,0.0085,0.0466,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.3068097241741853,1.3651902758258148,Normal approximation from printed SE. Source P and q retained separately.
CCL3,GBS versus HC,Replication,0.684,0.534,0.241,0.294,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.3626207677443888,1.730620767744389,Normal approximation from printed SE. Source P and q retained separately.
CD4,GBS versus HC,Discovery,0.359,0.131,0.0169,0.0743,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.10224471802525287,0.6157552819747472,Normal approximation from printed SE. Source P and q retained separately.
CD4,GBS versus HC,Replication,,,,,6,6,4B,NA in source due to call rate below 60%,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,,,Normal approximation from printed SE. Source P and q retained separately.
MMP7,GBS versus HC,Discovery,1.2,0.47,0.0245,0.0786,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.2788169272661746,2.1211830727338254,Normal approximation from printed SE. Source P and q retained separately.
MMP7,GBS versus HC,Replication,,,,,6,6,4B,NA in source due to call rate below 60%,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,,,Normal approximation from printed SE. Source P and q retained separately.
CR2,GBS versus HC,Discovery,0.692,0.273,0.025,0.0786,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1569298322205651,1.2270701677794347,Normal approximation from printed SE. Source P and q retained separately.
CR2,GBS versus HC,Replication,1.92,0.624,0.0178,0.0446,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.6969824736470063,3.1430175263529936,Normal approximation from printed SE. Source P and q retained separately.
CD1C,GBS versus HC,Discovery,0.561,0.252,0.0446,0.123,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.0670890758959064,1.0549109241040937,Normal approximation from printed SE. Source P and q retained separately.
CD1C,GBS versus HC,Replication,1.04,0.299,0.0102,0.0388,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.45397076862252395,1.6260292313774762,Normal approximation from printed SE. Source P and q retained separately.
THBD,GBS versus HC,Discovery,0.656,0.317,0.059,0.144,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.03469141690080291,1.277308583099197,Normal approximation from printed SE. Source P and q retained separately.
THBD,GBS versus HC,Replication,1.92,0.477,0.0051,0.0238,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.9850971793743942,2.8549028206256057,Normal approximation from printed SE. Source P and q retained separately.
NRP1,GBS versus HC,Discovery,0.0965,0.0485,0.0683,0.15,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.0014417467498073766,0.19155825325019263,Normal approximation from printed SE. Source P and q retained separately.
NRP1,GBS versus HC,Replication,0.288,0.119,0.0459,0.0793,6,6,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.054764285839733556,0.5212357141602664,Normal approximation from printed SE. Source P and q retained separately.
CD38,GBS versus HC,Discovery,0.635,0.352,0.0943,0.173,6,20,4B,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.05490732255809894,1.324907322558099,Normal approximation from printed SE. Source P and q retained separately.
