resource,scope,public_url,access_note
GSE211225,Human whole-blood GBS transcriptome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211225,Direct processed matrix
PRJNA1293757,Human PBMC single-cell GBS transcriptome,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1293757,Direct processed single-cell resource
GSE304871,Human sorted-cell early untreated GBS transcriptome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304871,Direct normalized matrices
GSE31014,Human leukocyte GBS microarray,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31014,Direct processed matrix
GBS-Proteomics,Human longitudinal serum SomaScan,https://github.com/NeRveLabBCN/GBS-Proteomics,Direct public repository; preprint evidence
GSE285983,Human CIDP sural-nerve single-nucleus transcriptome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285983,Direct donor-level reanalysis
GSE107574,Normal human blood-nerve barrier transcriptome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107574,Descriptive identity anchor
OEP002315/OEP002701,Human AIDP PBMC single-cell study,https://www.nature.com/articles/s41598-023-32427-5,Author-supplied supplementary GSEA
GSE133750,Rat experimental autoimmune neuritis sciatic nerve,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133750,Animal mechanism tier
CIDP-2026-stable-treated,Human stable-treated CIDP immune profiling,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1888882/full,Publication-level only
