protein,discovery_beta,discovery_se,replication_beta,replication_se,fixed_beta,fixed_se,ci_low,ci_high,p_value,Q,I2_percent,tau2_DL,random_beta_DL,random_ci_low,random_ci_high,direction_concordant,inference_level,fdr_BH
SELE,1.79,0.377,2.33,0.766,1.8952973514340399,0.33825218714365396,1.232323064632478,2.5582716382356017,2.104204956826273e-08,0.40006311009281303,0.0,0.0,1.8952973514340399,1.232323064632478,2.5582716382356017,True,published adjusted cohort coefficients,1.0521024784131366e-07
IL2RA,0.741,0.234,2.47,0.313,1.36089277459486,0.18741533694405324,0.9935587141845157,1.7282268350052044,3.831790546142842e-13,19.5740121132755,94.89118534200875,1.4183580000000002,1.5930034702139968,-0.10123949336386362,3.287246433791857,True,published adjusted cohort coefficients,3.831790546142842e-12
CCL3,0.836,0.27,0.684,0.534,0.8050528855821435,0.24095144956120618,0.3327880444421794,1.2773177267221076,0.0008343469166854291,0.06452621936233431,0.0,0.0,0.8050528855821435,0.3327880444421794,1.2773177267221076,True,published adjusted cohort coefficients,0.00119192416669347
CR2,0.692,0.273,1.92,0.624,0.8892852459016393,0.2501109524282977,0.39906777914217584,1.3795027126611026,0.0003771705632537126,3.2506310559273994,69.23674256490786,0.5220395000000003,1.1778049674267101,0.000887337187377879,2.3547225976660426,True,published adjusted cohort coefficients,0.0006286176054228543
CD1C,0.561,0.252,1.04,0.299,0.7599366992577091,0.19269075818213696,0.3822628132207207,1.1376105852946976,8.01955383054952e-05,1.5005460907099177,33.35759519876569,0.03826799999999998,0.7734676409185803,0.3070473441877522,1.2398879376494085,True,published adjusted cohort coefficients,0.000200488845763738
THBD,0.656,0.317,1.92,0.477,1.0432290423086539,0.2640151222645619,0.5257594026701126,1.560698681947195,7.769572049681556e-05,4.870757092598576,79.46931080756289,0.6348389999999997,1.2377468354430379,0.0029489829639997023,2.472544687922076,True,published adjusted cohort coefficients,0.000200488845763738
NRP1,0.0965,0.0485,0.288,0.119,0.12377845063812393,0.04491303691632149,0.03574889828213382,0.21180800299411404,0.005852048201533721,2.2207772546288584,54.970720367580384,0.010079499999999996,0.16141775456919058,-0.016256382097722594,0.3390918912361037,True,published adjusted cohort coefficients,0.006502275779481911
CD38,0.635,0.352,1.18,0.447,0.8436035469690745,0.2765477416730862,0.3015699732898255,1.3856371206483233,0.0022847536855377026,0.9175566010632874,0.0,0.0,0.8436035469690745,0.3015699732898255,1.3856371206483233,True,published adjusted cohort coefficients,0.0028559421069221285
IL6,0.37,0.514,1.89,0.427,1.2693402832988074,0.3284491213839474,0.6255800053862706,1.9131005612113443,0.00011124945820256506,5.174178377470466,80.67326004155125,0.9319374999999994,1.156929934210526,-0.33173461821105565,2.6455944866321075,True,published adjusted cohort coefficients,0.00022249891640513012
CD5,-0.0882,0.126,1.51,0.514,0.002394644234339745,0.12237672251116186,-0.2374637318875375,0.24225302035621699,0.9843881442484942,9.119952155160103,89.03503019547973,1.1370856199999992,0.6332126016768864,-0.9256042178466533,2.1920294212004263,False,published adjusted cohort coefficients,0.9843881442484943
