gene,cell_group,donors,total_nuclei,mean_expression,mean_percent_expressing
CDH4,Repair_damage_SC,20,4151,0.38815946155936326,15.147301564676331
CDH4,Myelinating_SC,19,5535,0.23224631646889157,10.435668138303981
CDH4,Epineurial_stroma,20,20672,0.2231787999409895,9.570520916848375
CDH4,Nonmyelinating_SC,20,38927,0.24814181407184344,9.103389018963732
CDH4,Endoneurial_stroma,20,18018,0.11561598015798265,5.151021145397587
CDH4,Adipo,19,2582,0.03535261727560772,3.773780363762172
CDH4,Mast,20,775,0.038318154899860304,1.8783164813397915
CDH4,T_NK,20,1841,0.039704874687056246,1.8750380400603404
CDH4,Perineurium,20,56134,0.03286060690081476,1.7231421309079464
CDH4,Macrophage,20,7437,0.024553453423490416,1.3642844546755635
CDH4,Pericyte_VSMC,20,38774,0.009448956188784736,0.549103728522879
CDH4,Other_EC,20,20899,0.010001376054529875,0.5327281468446388
CDH4,B_cell,20,241,0.00720961497095835,0.36398467432950193
CDH4,BNB_EC,20,4793,0.00610633962235491,0.36364621883819515
CDH4,Granulocyte,14,236,0.0016886360928518144,0.06321112515802782
DCTN1,Repair_damage_SC,20,4151,0.200303826085562,11.031803209162028
DCTN1,Adipo,19,2582,0.09699251514584817,9.342892664759853
DCTN1,Pericyte_VSMC,20,38774,0.1713365804510431,8.692945170259382
DCTN1,Epineurial_stroma,20,20672,0.14879353472157889,8.091053036633149
DCTN1,Other_EC,20,20899,0.1411736792938677,7.870663119371653
DCTN1,Perineurium,20,56134,0.14316523541634907,7.725654521804749
DCTN1,Myelinating_SC,19,5535,0.12485390986738136,7.566465633385301
DCTN1,BNB_EC,20,4793,0.11896763585090701,6.619350318178997
DCTN1,Endoneurial_stroma,20,18018,0.12086609098721712,6.190709770030244
DCTN1,Nonmyelinating_SC,20,38927,0.12763981950671643,5.960322779671142
DCTN1,Mast,20,775,0.10296659826079979,5.68109231682371
DCTN1,Granulocyte,14,236,0.07139975928226319,4.379576503470309
DCTN1,T_NK,20,1841,0.08620828611381584,4.14885158908993
DCTN1,Macrophage,20,7437,0.07331865234976068,4.072028848778331
DCTN1,B_cell,20,241,0.02839801196524252,1.7892260995709273
DGKQ,T_NK,20,1841,0.10485168747868194,4.3696467734693085
DGKQ,Adipo,19,2582,0.04837609148538198,4.267658333501427
DGKQ,B_cell,20,241,0.06008750697842983,2.645170761550072
DGKQ,Other_EC,20,20899,0.04675766078227199,2.539239557082133
DGKQ,Macrophage,20,7437,0.05123696079210295,2.3300869683864796
DGKQ,Endoneurial_stroma,20,18018,0.042770580082871226,2.1781559153137
DGKQ,BNB_EC,20,4793,0.037234303740164336,2.006655403408618
DGKQ,Myelinating_SC,19,5535,0.03055840823387895,1.982892300208401
DGKQ,Mast,20,775,0.04401510236380012,1.945280313486835
DGKQ,Epineurial_stroma,20,20672,0.03540563421329196,1.9319536530177726
DGKQ,Pericyte_VSMC,20,38774,0.029527340359110626,1.5123557349971442
DGKQ,Perineurium,20,56134,0.024410101311989722,1.320753208690681
DGKQ,Repair_damage_SC,20,4151,0.019671713179398545,1.2187064366260658
DGKQ,Nonmyelinating_SC,20,38927,0.01299116233129748,0.6239892581618294
DGKQ,Granulocyte,14,236,0.015514105005965066,0.439150974782088
DIRAS1,B_cell,20,241,0.08051873125933315,2.6488095238095233
DIRAS1,Repair_damage_SC,20,4151,0.01417485350353712,0.7829294331371777
DIRAS1,Pericyte_VSMC,20,38774,0.001588418362026265,0.07248173385643034
DIRAS1,Nonmyelinating_SC,20,38927,0.00145202334097139,0.06929731779175403
DIRAS1,Macrophage,20,7437,0.0007169109820351299,0.05193987313099026
DIRAS1,Adipo,19,2582,0.00030691563160480524,0.04537205081669691
DIRAS1,Epineurial_stroma,20,20672,0.000507486762751455,0.03485813089499492
DIRAS1,Perineurium,20,56134,0.00057429767447341,0.029140265852379645
DIRAS1,Myelinating_SC,19,5535,0.00022857716058228422,0.01827485380116959
DIRAS1,Endoneurial_stroma,20,18018,0.000323908505968215,0.016502014716566323
DIRAS1,Other_EC,20,20899,0.000285143683611455,0.014240256776781918
DIRAS1,BNB_EC,20,4793,0.0,0.0
DIRAS1,Granulocyte,14,236,0.0,0.0
DIRAS1,Mast,20,775,0.0,0.0
DIRAS1,T_NK,20,1841,0.0,0.0
GLDC,Myelinating_SC,19,5535,1.6043187400472032,53.808418724065696
