disease,cell_group,gene,evidence_tier,n_donors,total_nuclei,mean_expression,median_expression,mean_percent_expressing
CIAP,Adipo,CDH4,CIDP,11,1629,0.0231917648259015,0.011271658278069,2.508748647526742
CIAP,Adipo,DCTN1,Inflammatory_polyneuropathy,11,1629,0.0855974311371121,0.0744799344257692,8.417449885633811
CIAP,Adipo,DGKQ,Inflammatory_polyneuropathy,11,1629,0.0542279429347667,0.0532516952589139,4.7030896582049415
CIAP,Adipo,DIRAS1,CIDP,11,1629,0.0005301270000446,0.0,0.0783699059561128
CIAP,Adipo,GLDC,Inflammatory_polyneuropathy,11,1629,0.0090934846662467,0.0,0.8426380692586682
CIAP,Adipo,GNG7,CIDP,11,1629,0.1527868123321397,0.1268261271378871,12.214116549307978
CIAP,Adipo,IDUA,Inflammatory_polyneuropathy,11,1629,0.1084529213224002,0.1006111501454478,8.40261760756099
CIAP,Adipo,ME1,Inflammatory_polyneuropathy,11,1629,1.893671749521265,1.902006654636225,71.44652972097578
CIAP,Adipo,SLAMF9,Inflammatory_polyneuropathy,11,1629,0.0,0.0,0.0
CIAP,Adipo,SLC39A3,CIDP,11,1629,0.0206225199488391,0.0183631657307569,1.876160262757244
CIAP,Adipo,TMEM175,Inflammatory_polyneuropathy,11,1629,0.1623531372797933,0.1459306422009875,14.396134701971636
CIAP,BNB_EC,CDH4,CIDP,11,2323,0.0098334051949557,0.0,0.567440512519354
CIAP,BNB_EC,DCTN1,Inflammatory_polyneuropathy,11,2323,0.1090408548376051,0.0882740114231727,5.840475644076121
CIAP,BNB_EC,DGKQ,Inflammatory_polyneuropathy,11,2323,0.0334658475537366,0.0333106733695221,1.6607927611186968
CIAP,BNB_EC,DIRAS1,CIDP,11,2323,0.0,0.0,0.0
CIAP,BNB_EC,GLDC,Inflammatory_polyneuropathy,11,2323,0.0166768241635502,0.0078020787984153,0.8644917921242526
CIAP,BNB_EC,GNG7,CIDP,11,2323,0.2301761488893292,0.2608730845795475,10.293597335023806
CIAP,BNB_EC,IDUA,Inflammatory_polyneuropathy,11,2323,0.0704061081499794,0.0821475528908464,3.4224799536510044
CIAP,BNB_EC,ME1,Inflammatory_polyneuropathy,11,2323,0.0233960258251504,0.0063911766647958,1.286639399504399
CIAP,BNB_EC,SLAMF9,Inflammatory_polyneuropathy,11,2323,0.0,0.0,0.0
CIAP,BNB_EC,SLC39A3,CIDP,11,2323,0.0151296588282795,0.0097788484747775,0.7306150354265187
CIAP,BNB_EC,TMEM175,Inflammatory_polyneuropathy,11,2323,0.1139856996881168,0.1112177035105724,5.823665299390768
CIAP,B_cell,CDH4,CIDP,11,141,0.0024031560375361,0.0,0.1567398119122257
CIAP,B_cell,DCTN1,Inflammatory_polyneuropathy,11,141,0.0187621843264326,0.0,1.4493865591044277
CIAP,B_cell,DGKQ,Inflammatory_polyneuropathy,11,141,0.1055848980677128,0.0,4.641051216286326
CIAP,B_cell,DIRAS1,CIDP,11,141,0.1393629836682465,0.0,4.166666666666666
CIAP,B_cell,GLDC,Inflammatory_polyneuropathy,11,141,0.3682537311020039,0.0,10.421188007394903
CIAP,B_cell,GNG7,CIDP,11,141,2.29323931130407,2.390095519978872,66.0081950442452
CIAP,B_cell,IDUA,Inflammatory_polyneuropathy,11,141,0.0403544354515609,0.0,3.285507595852424
CIAP,B_cell,ME1,Inflammatory_polyneuropathy,11,141,0.2884224931398267,0.0,11.990138910201606
CIAP,B_cell,SLAMF9,Inflammatory_polyneuropathy,11,141,0.0,0.0,0.0
CIAP,B_cell,SLC39A3,CIDP,11,141,0.003643764181544,0.0,0.2331002331002331
CIAP,B_cell,TMEM175,Inflammatory_polyneuropathy,11,141,0.1163210674991335,0.0,6.120032005611943
CIAP,Endoneurial_stroma,CDH4,CIDP,11,8606,0.111698160704119,0.1159352497782861,4.8730999010488265
CIAP,Endoneurial_stroma,DCTN1,Inflammatory_polyneuropathy,11,8606,0.1072373953566621,0.1001625098263331,5.621102943588927
CIAP,Endoneurial_stroma,DGKQ,Inflammatory_polyneuropathy,11,8606,0.0454224347065192,0.0497695624962108,2.3403214007808684
CIAP,Endoneurial_stroma,DIRAS1,CIDP,11,8606,0.0002816911128007,0.0,0.0137741046831955
CIAP,Endoneurial_stroma,GLDC,Inflammatory_polyneuropathy,11,8606,0.0033295283821578,0.0010558225850766,0.2354505211654986
CIAP,Endoneurial_stroma,GNG7,CIDP,11,8606,0.021043737110072,0.018949815410564,1.1628256297873918
CIAP,Endoneurial_stroma,IDUA,Inflammatory_polyneuropathy,11,8606,0.0688677054358333,0.0736292268023483,3.505818752277743
