Cohort,Program,Hedges g,n case,n control,FDR,Variance,Positive direction
Whole blood,CXCL8–CXCR1/2,1.2495713770194623,6,6,0.0454545454545454,0.4114047646466491,Yes
Whole blood,LIF/OSM–gp130,2.193899016551549,6,6,0.0075757575757575,0.573992978074626,Yes
Whole blood,Complement,2.4875321333096894,6,6,0.0075757575757575,0.6427241390457461,Yes
Whole blood,Fc receptor,1.3553135270779009,6,6,0.0378787878787878,0.4251770711673503,Yes
Whole blood,Transendothelial migration,0.9231847966859392,6,6,0.1255411255411255,0.37594684177493626,Yes
Whole blood,Interferon/JAK–STAT,1.073728510692789,6,6,0.0454545454545454,0.39097797906706105,Yes
Whole blood,Inflammatory monocyte,1.9318959720517768,6,6,0.0151515151515151,0.5199444356748273,Yes
Leukocytes,CXCL8–CXCR1/2,0.7568439405395496,7,7,0.2088578088578088,0.30958148364476207,Yes
Leukocytes,LIF/OSM–gp130,-0.7780536910218081,7,7,0.2088578088578088,0.31093793346897985,No
Leukocytes,Complement,0.4696277168991227,7,7,0.3560606060606061,0.2949038770676141,Yes
Leukocytes,Fc receptor,0.9533355129217568,7,7,0.1944444444444444,0.32358297738919356,Yes
Leukocytes,Transendothelial migration,0.949040765315782,7,7,0.1944444444444444,0.32324255130725094,Yes
Leukocytes,Interferon/JAK–STAT,0.652085394338612,7,7,0.273989898989899,0.3034315924438583,Yes
Leukocytes,Inflammatory monocyte,1.1665835465330172,7,7,0.1944444444444444,0.34241916784101706,Yes
Monocytes,CXCL8–CXCR1/2,1.9733768305862749,3,2,0.35,1.4823693525824553,Yes
Monocytes,LIF/OSM–gp130,-0.583769704158711,3,2,0.7,0.8901311779155915,No
Monocytes,Complement,0.5036217353866437,3,2,0.7,0.8756058087256424,Yes
Monocytes,Fc receptor,-3.888691522021692,3,2,0.35,3.3536536255738976,No
Monocytes,Transendothelial migration,-0.5212872707493132,3,2,0.7,0.8786234031075447,No
Monocytes,Interferon/JAK–STAT,-0.1020013289107978,3,2,1,0.8350673785165948,No
Monocytes,Inflammatory monocyte,-0.4004202513963161,3,2,0.7000000000000001,0.8600560629547148,No
