cell_group,panel,n,rho_INCAT,p_value
BNB_EC,Complement,9,-0.054772255750516606,0.8886974531946982
BNB_EC,Fc_receptor,9,0.20083160441856093,0.60437217167933
BNB_EC,LIF_LIFR,9,0.6024948132556827,0.08596715949671117
BNB_EC,Leukocyte_transmigration,9,0.2556038601690775,0.5068110007937626
BNB_EC,Schwann_myelin_repair,9,0.09128709291752768,0.8153180714600264
Macrophage,Complement,9,-0.3651483716701107,0.3338991406915333
Macrophage,Fc_receptor,9,-0.03651483716701107,0.9256951876591197
Macrophage,LIF_LIFR,9,0.12780193008453875,0.7431617840585842
Macrophage,Leukocyte_transmigration,9,-0.2556038601690775,0.5068110007937626
Macrophage,Schwann_myelin_repair,9,0.018257418583505537,0.9628166223153186
Repair_damage_SC,Complement,9,-0.511207720338155,0.15955594764343264
Repair_damage_SC,Fc_receptor,9,-0.237346441585572,0.5386087664353268
Repair_damage_SC,LIF_LIFR,9,0.3651483716701107,0.3338991406915333
Repair_damage_SC,Leukocyte_transmigration,9,0.054772255750516606,0.8886974531946982
Repair_damage_SC,Schwann_myelin_repair,9,0.8398412548412546,0.004611367632836206
