dataset,comparison,module,n_genes,genes_available,n_pairs,mean_case,mean_reference,delta,dz,paired_t_p,wilcoxon_p,n_case,n_reference,hedges_g,permutation_p,welch_p,primary_p,module_fdr_within_comparison,module_label
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,CXCL8_CXCR1_2,1,CXCL8,20.0,0.4392128988704902,-0.2033333256511037,0.642546224521594,0.4196643528119314,0.0759902462040177,0.0239505767822265,,,,,,0.0759902462040177,0.2073579810450128,CXCL8–CXCR1/2
GBS-Proteomics,Acute_GBS_vs_HC,CXCL8_CXCR1_2,1,CXCL8,,0.4392128988704902,-0.3145060976258542,0.7537189964963444,,,,20.0,15.0,0.6264069432786408,0.0421195788042119,0.0449774478108088,0.0449774478108088,0.0827090350471653,CXCL8–CXCR1/2
GBS-Proteomics,Recovery_1y_vs_HC,CXCL8_CXCR1_2,1,CXCL8,,-0.2033333256511037,-0.3145060976258542,0.1111727719747504,,,,20.0,15.0,0.266623720442627,0.4418555814441856,0.4542621535720446,0.4542621535720446,0.5299725125007186,CXCL8–CXCR1/2
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,LIF_LIFR_IL6ST,9,LIF;LIFR;IL6;IL6R;IL6ST;OSM;OSMR;STAT3;SOCS3,20.0,0.0935806827689475,0.0917841841351082,0.0017964986338392,0.0093012673427215,0.9672543510376144,0.8983173370361328,,,,,,0.9672543510376144,0.9672543510376144,LIF/OSM–gp130
GBS-Proteomics,Acute_GBS_vs_HC,LIF_LIFR_IL6ST,9,LIF;LIFR;IL6;IL6R;IL6ST;OSM;OSMR;STAT3;SOCS3,,0.0935806827689475,-0.2471531558720643,0.3407338386410118,,,,20.0,15.0,1.0113155094881094,0.0051099489005109,0.0077538956357814,0.0077538956357814,0.0271386347252352,LIF/OSM–gp130
GBS-Proteomics,Recovery_1y_vs_HC,LIF_LIFR_IL6ST,9,LIF;LIFR;IL6;IL6R;IL6ST;OSM;OSMR;STAT3;SOCS3,,0.0917841841351082,-0.2471531558720643,0.3389373400071725,,,,20.0,15.0,1.0518094922410333,0.0032899671003289,0.0068877580434859,0.0068877580434859,0.0382056496422363,LIF/OSM–gp130
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,Complement,12,C1QC;C2;C3;C5;CFB;CFD;CFH;CFI;SERPING1;CR1;CD55;CD59,20.0,-0.0093011237249441,0.1072460187253292,-0.1165471424502734,-0.3135953327091823,0.1769118068030866,0.2161674499511718,,,,,,0.1769118068030866,0.2803510602113464,Complement
GBS-Proteomics,Acute_GBS_vs_HC,Complement,12,C1QC;C2;C3;C5;CFB;CFD;CFH;CFI;SERPING1;CR1;CD55;CD59,,-0.009301123724944,-0.1305931933338404,0.1212920696088963,,,,20.0,15.0,0.2789384381220471,0.4033759662403376,0.4044345878699121,0.4044345878699121,0.4718403525148975,Complement
GBS-Proteomics,Recovery_1y_vs_HC,Complement,12,C1QC;C2;C3;C5;CFB;CFD;CFH;CFI;SERPING1;CR1;CD55;CD59,,0.1072460187253293,-0.1305931933338404,0.2378392120591697,,,,20.0,15.0,0.7094801731754304,0.0385996140038599,0.058766785174782,0.058766785174782,0.1371224987411581,Complement
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,Fc_receptor,9,FCGR1A;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FCGRT;SYK;LYN;HCK,20.0,0.001004943945121,-0.0368226718439362,0.0378276157890573,0.0804439199614636,0.722997209145257,0.8983173370361328,,,,,,0.722997209145257,0.8434967440027998,Fc receptor
GBS-Proteomics,Acute_GBS_vs_HC,Fc_receptor,9,FCGR1A;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FCGRT;SYK;LYN;HCK,,0.001004943945121,0.0477569705317522,-0.0467520265866311,,,,20.0,15.0,-0.0915076455830471,0.7918820811791882,0.7910424564074244,0.7910424564074244,0.7910424564074244,Fc receptor
GBS-Proteomics,Recovery_1y_vs_HC,Fc_receptor,9,FCGR1A;FCGR2A;FCGR2B;FCGR3A;FCGR3B;FCGRT;SYK;LYN;HCK,,-0.0368226718439362,0.0477569705317522,-0.0845796423756884,,,,20.0,15.0,-0.1892648678174506,0.6065039349606504,0.6013385287277802,0.6013385287277802,0.6013385287277802,Fc receptor
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,Transendothelial_migration,16,ITGAM;ITGAL;ITGB2;SELL;SELPLG;ICAM1;VCAM1;SELE;SELP;PECAM1;JAM2;JAM3;ALCAM;MMP9;CCL2;CCL20,20.0,0.1194004932516653,-0.028807634206927,0.1482081274585924,0.4009822261644419,0.0888677061621483,0.2024497985839843,,,,,,0.0888677061621483,0.2073579810450128,Transendothelial migration
GBS-Proteomics,Acute_GBS_vs_HC,Transendothelial_migration,16,ITGAM;ITGAL;ITGB2;SELL;SELPLG;ICAM1;VCAM1;SELE;SELP;PECAM1;JAM2;JAM3;ALCAM;MMP9;CCL2;CCL20,,0.1194004932516653,-0.1207904787263175,0.2401909719779828,,,,20.0,15.0,0.6907382571679151,0.0469295307046929,0.0472623057412373,0.0472623057412373,0.0827090350471653,Transendothelial migration
GBS-Proteomics,Recovery_1y_vs_HC,Transendothelial_migration,16,ITGAM;ITGAL;ITGB2;SELL;SELPLG;ICAM1;VCAM1;SELE;SELP;PECAM1;JAM2;JAM3;ALCAM;MMP9;CCL2;CCL20,,-0.028807634206927,-0.1207904787263175,0.0919828445193904,,,,20.0,15.0,0.3349642071083059,0.3223767762322377,0.3612490098133541,0.3612490098133541,0.5057486137386957,Transendothelial migration
GBS-Proteomics,Acute_GBS_vs_Recovery_1y,Interferon_JAK_STAT,9,IFNB1;IFNG;STAT1;IRF1;ISG15;IFIT3;MX1;OAS1;JAK2,20.0,0.178881762719687,-0.1889174925018046,0.3677992552214917,0.5859983404003005,0.0168257952840799,0.0083084106445312,,,,,,0.0168257952840799,0.1177805669885594,Interferon/JAK–STAT
