disease,cell_group,gene,n_samples,mean_log2cpm,median_log2cpm,panels
CIDP,Macrophage,C3,9,6.460513403115804,6.923818548374483,['Complement']
CIDP,Macrophage,C3AR1,9,5.841138521219653,5.758531276946905,['Complement']
CIDP,Macrophage,CLDN5,9,2.483785431399592,3.6529672570149696,['BNB_identity_integrity']
CIDP,Macrophage,CXCL8,9,1.348223021945377,0.6154125343019813,['CXCL8_CXCR1_2']
CIDP,Macrophage,FCGR2A,9,7.287541138801227,7.21910488657475,['Fc_receptor']
CIDP,Macrophage,ICAM1,9,4.992699875754841,4.927322110737183,['Leukocyte_transmigration']
CIDP,Macrophage,IL6ST,9,7.737116029426646,7.7225974840454095,['LIF_LIFR']
CIDP,Macrophage,JUN,9,4.352357319416675,4.624006253696424,['Schwann_myelin_repair']
CIDP,Macrophage,LIFR,9,4.610190952202145,5.890538432578171,['LIF_LIFR']
CIDP,Macrophage,MPZ,9,5.417499927767537,6.370559773555854,['Schwann_myelin_repair']
CIDP,Macrophage,OSMR,9,3.470114776908913,4.327801623384464,['LIF_LIFR']
CIDP,Macrophage,SOX10,9,3.3334017150161928,3.6529672570149696,['Schwann_myelin_repair']
CIDP,Macrophage,VCAM1,9,1.3780876036119378,1.7990080449948844,['Leukocyte_transmigration']
CIDP,BNB_EC,C3,9,0.2492865802875977,-1.0,['Complement']
CIDP,BNB_EC,C3AR1,9,0.7185155309100427,0.970185268649364,['Complement']
CIDP,BNB_EC,CLDN5,9,7.099958102435112,7.228240333468523,['BNB_identity_integrity']
CIDP,BNB_EC,CXCL8,9,0.0187549434277665,-0.0198078699440116,['CXCL8_CXCR1_2']
CIDP,BNB_EC,FCGR2A,9,-0.2600696408599823,-1.0,['Fc_receptor']
CIDP,BNB_EC,ICAM1,9,4.467965540953954,4.477856166242455,['Leukocyte_transmigration']
CIDP,BNB_EC,IL6ST,9,8.29805926015109,8.339547610988364,['LIF_LIFR']
CIDP,BNB_EC,JUN,9,4.5078849817217925,4.477856166242455,['Schwann_myelin_repair']
CIDP,BNB_EC,LIFR,9,11.33641423625416,11.332437095972155,['LIF_LIFR']
