comparison,cell_group,n_case,n_reference,mean_fraction_case,mean_fraction_reference,difference_fraction,p_value,fdr_across_cell_groups
CIDP_vs_CIAP,Macrophage,9,11,0.0389415022539328,0.0355193415864971,0.0034221606674357,0.4941245444092638,0.8922801356824881
CIDP_vs_CIAP,Granulocyte,9,11,0.0003234563889478,0.0017810251069405,-0.0014575687179927,0.2642482159339157,0.7759680219213966
CIDP_vs_CIAP,T_NK,9,11,0.0085093132751406,0.0096050151178168,-0.0010957018426762,0.7612079858009609,0.8942264049052236
CIDP_vs_CIAP,B_cell,9,11,0.0008730930794532,0.0013931042697849,-0.0005200111903317,0.7040429655866594,0.8942264049052236
CIDP_vs_CIAP,BNB_EC,9,11,0.0221936887442336,0.0184701566463453,0.0037235320978882,0.8197075378297883,0.8942264049052236
CIDP_vs_CIAP,Other_EC,9,11,0.0840005395933693,0.1048128460352149,-0.0208123064418455,0.5433269342132927,0.8922801356824881
CIDP_vs_CIAP,Pericyte,9,11,0.1457487387673819,0.1732172743244691,-0.0274685355570872,0.3233200091339152,0.7759680219213966
CIDP_vs_CIAP,Perineurium,9,11,0.2633209033561834,0.2392600429562268,0.0240608603999565,0.5948534237883254,0.8922801356824881
CIDP_vs_CIAP,Endoneurial_stroma,9,11,0.0991764947111793,0.0719787741016249,0.0271977206095544,0.0682474883780012,0.5145725558122969
CIDP_vs_CIAP,Myelinating_SC,9,11,0.0312980274435547,0.0179607209245921,0.0133373065189625,0.1286431389530742,0.5145725558122969
CIDP_vs_CIAP,Nonmyelinating_SC,9,11,0.2050325898414737,0.1408320960885212,0.0642004937529525,0.0946383952870955,0.5145725558122969
CIDP_vs_CIAP,Repair_damage_SC,9,11,0.0156109536206042,0.0208156598056558,-0.0052047061850516,1.0,1.0
