cell_group,gene,evidence_tier,n_CIDP,n_CIAP,mean_CIDP,mean_CIAP,delta_mean,p_value,fdr_within_cell_group
BNB_EC,CDH4,CIDP,9,11,0.0015510372558428,0.0098334051949557,-0.0082823679391129,0.2464990973100845,0.5687546337333023
BNB_EC,DIRAS1,CIDP,9,11,0.0,0.0,0.0,1.0,1.0
BNB_EC,GNG7,CIDP,9,11,0.2452638515796663,0.2301761488893293,0.015087702690337,0.648503379652976,0.849096316628154
BNB_EC,SLC39A3,CIDP,9,11,0.03157223669713,0.0151296588282795,0.0164425778688505,0.0933976745287926,0.5687546337333023
B_cell,CDH4,CIDP,9,11,0.0130841758895854,0.0024031560375361,0.0106810198520493,0.8840585820512205,1.0
B_cell,DIRAS1,CIDP,9,11,0.0085979783151056,0.1393629836682465,-0.1307650053531408,0.6249542632109544,1.0
B_cell,GNG7,CIDP,9,11,1.5194353578913578,2.29323931130407,-0.7738039534127121,0.0801132907760783,0.4406230992684309
B_cell,SLC39A3,CIDP,9,11,0.0,0.003643764181544,-0.003643764181544,0.4213795037428696,1.0
Endoneurial_stroma,CDH4,CIDP,9,11,0.1204044261571493,0.111698160704119,0.0087062654530303,0.9394400080349974,1.0
Endoneurial_stroma,DIRAS1,CIDP,9,11,0.0003755075420617,0.0002816911128007,9.3816429261e-05,0.5411656457029764,0.9347696659530828
Endoneurial_stroma,GNG7,CIDP,9,11,0.0228893492220629,0.021043737110072,0.0018456121119909,0.8792283946861903,1.0
Endoneurial_stroma,SLC39A3,CIDP,9,11,0.0048555832353473,0.0070082924747637,-0.0021527092394164,0.5826966341630524,0.9347696659530828
Epineurial_stroma,CDH4,CIDP,9,11,0.2864875298765035,0.1713807481755689,0.1151067817009345,0.2241451540522022,0.6324899215121704
Epineurial_stroma,DIRAS1,CIDP,9,11,0.0004428369060551,0.0005603821000484,-0.0001175451939933,0.8417167361260092,0.8417167361260092
Epineurial_stroma,GNG7,CIDP,9,11,0.0478088822163104,0.0626740409163376,-0.0148651587000272,0.1965119202345007,0.6324899215121704
Epineurial_stroma,SLC39A3,CIDP,9,11,0.0098725684441358,0.0127370927679375,-0.0028645243238017,0.286769548806278,0.6324899215121704
Macrophage,CDH4,CIDP,9,11,0.0326779217554646,0.0179061611518751,0.0147717606035894,0.2371879310545802,0.4348445402667305
Macrophage,DIRAS1,CIDP,9,11,0.0011590997873328,0.0003551201413369,0.0008039796459958,0.1921965492246959,0.4348445402667305
Macrophage,GNG7,CIDP,9,11,0.5028301779068304,0.465063692414834,0.0377664854919963,0.4474117020093185,0.546836524678056
Macrophage,SLC39A3,CIDP,9,11,0.0077701686824614,0.011518527755421,-0.0037483590729596,0.4188418104396186,0.546836524678056
Myelinating_SC,CDH4,CIDP,9,10,0.272636741456967,0.1958949339796237,0.0767418074773432,0.3074341659273953,0.7663359840068907
Myelinating_SC,DIRAS1,CIDP,9,10,0.0,0.0004342966051063,-0.0004342966051063,0.3990751965482372,0.7663359840068907
Myelinating_SC,GNG7,CIDP,9,10,0.0412423353816407,0.055708913337747,-0.0144665779561062,0.5674585271954133,0.7802554748936934
Myelinating_SC,SLC39A3,CIDP,9,10,0.0265140600434935,0.0154736204410004,0.011040439602493,0.4604589726761191,0.7663359840068907
Nonmyelinating_SC,CDH4,CIDP,9,11,0.3125538188277662,0.1954410829079067,0.1171127359198595,0.2544505826463366,0.9394400080349974
Nonmyelinating_SC,DIRAS1,CIDP,9,11,0.0013399406915935,0.001543727326826,-0.0002037866352324,0.8138372919965866,0.9394400080349974
Nonmyelinating_SC,GNG7,CIDP,9,11,0.1318899659585327,0.1179143777469115,0.0139755882116211,0.4474117020093185,0.9394400080349974
Nonmyelinating_SC,SLC39A3,CIDP,9,11,0.0108681506176422,0.0095074307052667,0.0013607199123755,0.7039368960604941,0.9394400080349974
Pericyte_VSMC,CDH4,CIDP,9,11,0.0050151776010324,0.0130765932151276,-0.0080614156140951,0.1257621125392461,0.7205437075265025
Pericyte_VSMC,DIRAS1,CIDP,9,11,0.0019157866202356,0.0013205716053095,0.000595215014926,0.5345969214602931,0.8400808765804607
Pericyte_VSMC,GNG7,CIDP,9,11,0.0814270104466952,0.0815355516813685,-0.0001085412346732,0.8792283946861903,1.0
Pericyte_VSMC,SLC39A3,CIDP,9,11,0.0154908051497531,0.0130838723572894,0.0024069327924636,0.3619347669211923,0.772529090195261
Perineurium,CDH4,CIDP,9,11,0.0257137851354247,0.038708006527043,-0.0129942213916183,0.3619347669211923,0.9814244390675176
Perineurium,DIRAS1,CIDP,9,11,0.0006962907959832,0.0004744851205108,0.0002218056754723,0.8029836319643325,0.9814244390675176
Perineurium,GNG7,CIDP,9,11,0.1008338241535043,0.1080418090435448,-0.0072079848900405,0.9394400080349974,1.0
Perineurium,SLC39A3,CIDP,9,11,0.0111682922776141,0.0092446320221971,0.0019236602554169,0.7612079858009609,0.9814244390675176
Repair_damage_SC,CDH4,CIDP,9,11,0.3647682844078966,0.4072976974105634,-0.0425294130026667,0.3233200091339152,0.7113040200946135
Repair_damage_SC,DIRAS1,CIDP,9,11,0.0128010013136751,0.0152989143861514,-0.0024979130724762,0.9381259469527296,1.0
Repair_damage_SC,GNG7,CIDP,9,11,0.2117949242561462,0.2083301233008168,0.0034648009553294,0.8197075378297883,1.0
Repair_damage_SC,SLC39A3,CIDP,9,11,0.0068548671734268,0.0073766339016322,-0.0005217667282054,0.7763221932565069,1.0
