cell_group,gene,evidence_tier,n_CIDP,n_CIAP,mean_CIDP,mean_CIAP,delta_mean,p_value,fdr_within_cell_group
Adipo,CDH4,CIDP,8,11,0.0520737893939538,0.0231917648259015,0.0288820245680523,0.2998707871854806,0.9295252106939864
Adipo,DCTN1,Inflammatory_polyneuropathy,8,11,0.1126607556578603,0.0855974311371121,0.0270633245207482,0.7410719877127986,0.940018639801212
Adipo,DGKQ,Inflammatory_polyneuropathy,8,11,0.040329795742478,0.0542279429347667,-0.0138981471922887,0.5070137512876289,0.9295252106939864
Adipo,DIRAS1,CIDP,8,11,0,0.0005301270000446,-0.0005301270000446,0.4555450937893299,0.9295252106939864
Adipo,GLDC,Inflammatory_polyneuropathy,8,11,0.0269074411382762,0.0090934846662467,0.0178139564720295,0.2055956130292902,0.9295252106939864
Adipo,GNG7,CIDP,8,11,0.1738978986995623,0.1527868123321397,0.0211110863674225,0.7167844195707973,0.940018639801212
Adipo,IDUA,Inflammatory_polyneuropathy,8,11,0.0643909725683099,0.1084529213224002,-0.0440619487540902,0.2309857088338387,0.9295252106939864
Adipo,ME1,Inflammatory_polyneuropathy,8,11,1.965705535762421,1.893671749521265,0.0720337862411559,0.9038924611680028,0.9942817072848033
Adipo,SLAMF9,Inflammatory_polyneuropathy,8,11,0,0,0,1,1
Adipo,SLC39A3,CIDP,8,11,0.0300622232110555,0.0206225199488391,0.0094397032622164,0.7691061598373553,0.940018639801212
Adipo,TMEM175,Inflammatory_polyneuropathy,8,11,0.1285653215792448,0.1623531372797933,-0.0337878157005484,0.3950411473631288,0.9295252106939864
BNB_EC,CDH4,CIDP,9,11,0.0015510372558428,0.0098334051949557,-0.0082823679391129,0.2464990973100845,0.5687546337333023
BNB_EC,DCTN1,Inflammatory_polyneuropathy,9,11,0.1311003682004983,0.1090408548376051,0.0220595133628931,0.3619347669211923,0.5687546337333023
BNB_EC,DGKQ,Inflammatory_polyneuropathy,9,11,0.0418401946346871,0.0334658475537366,0.0083743470809504,0.286769548806278,0.5687546337333023
BNB_EC,DIRAS1,CIDP,9,11,0,0,0,1,1
