disease,sample,cell_group,gene,evidence_tier,n_nuclei,mean_log2_cp10k_plus1,median_log2_cp10k_plus1,percent_expressing
CIDP,S01,Adipo,CDH4,CIDP,17,0,0,0
CIDP,S01,BNB_EC,CDH4,CIDP,205,0,0,0
CIDP,S01,B_cell,CDH4,CIDP,13,0,0,0
CIDP,S01,Endoneurial_stroma,CDH4,CIDP,1710,0.2031784711857128,0,7.368421052631578
CIDP,S01,Epineurial_stroma,CDH4,CIDP,926,0.4340409256391018,0,15.118790496760258
CIDP,S01,Granulocyte,CDH4,CIDP,1,0,0,0
CIDP,S01,Macrophage,CDH4,CIDP,570,0.0137036092258404,0,0.5263157894736842
CIDP,S01,Mast,CDH4,CIDP,84,0,0,0
CIDP,S01,Myelinating_SC,CDH4,CIDP,318,0.1885322720846248,0,8.80503144654088
CIDP,S01,Nonmyelinating_SC,CDH4,CIDP,1057,0.1737439479789915,0,5.581835383159887
CIDP,S01,Other_EC,CDH4,CIDP,621,0.0039700650918877,0,0.1610305958132045
CIDP,S01,Pericyte_VSMC,CDH4,CIDP,1665,0,0,0
CIDP,S01,Perineurium,CDH4,CIDP,6467,0.0278727321349029,0,1.3298283593629194
CIDP,S01,Repair_damage_SC,CDH4,CIDP,47,0.3990428999605706,0,14.893617021276595
CIDP,S01,T_NK,CDH4,CIDP,117,0.015562943370259,0,0.8547008547008548
CIDP,S01,Adipo,DIRAS1,CIDP,17,0,0,0
CIDP,S01,BNB_EC,DIRAS1,CIDP,205,0,0,0
CIDP,S01,B_cell,DIRAS1,CIDP,13,0,0,0
CIDP,S01,Endoneurial_stroma,DIRAS1,CIDP,1710,0,0,0
CIDP,S01,Epineurial_stroma,DIRAS1,CIDP,926,0,0,0
CIDP,S01,Granulocyte,DIRAS1,CIDP,1,0,0,0
CIDP,S01,Macrophage,DIRAS1,CIDP,570,0,0,0
CIDP,S01,Mast,DIRAS1,CIDP,84,0,0,0
CIDP,S01,Myelinating_SC,DIRAS1,CIDP,318,0,0,0
CIDP,S01,Nonmyelinating_SC,DIRAS1,CIDP,1057,0,0,0
CIDP,S01,Other_EC,DIRAS1,CIDP,621,0,0,0
CIDP,S01,Pericyte_VSMC,DIRAS1,CIDP,1665,0.002388097045827,0,0.1201201201201201
