gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
CDH4,CIDP,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,Structure with Ligand,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,High-Quality Ligand,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,High-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,SM,Druggable Family,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,UniProt loc high conf,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,GO CC high conf,true,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,UniProt loc med conf,true,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,UniProt SigP or TMHMM,true,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,GO CC med conf,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,AB,Human Protein Atlas loc,true,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
CDH4,CIDP,PR,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000179242,2026-08-31
