Item,Description
Version,"Public aggregate-data edition, 6 September 2026; numerical results retained from v2.1.0."
Table values,Frozen results copied without recalculation. Numerical cell values are preserved.
Source provenance,Published CSF and genetic estimates are labeled as published. Reanalysis and pooling outputs are labeled separately in Figure_table_index.
Inferential units,Participants or tissue donors. Nuclei are not treated as independent biological replicates.
Blood meta-analysis,DerSimonian-Laird variance with modified Hartung-Knapp scale bounded below by 1. Seven modules and three cohorts.
Nerve comparisons,Unadjusted Mann-Whitney comparisons of donor module scores. Eight modules corrected within each cell group.
Correlation families,Ten donor module pairs and fifteen clinical correlations receive separate BH corrections. None survive FDR 0.05.
CSF pooling,Eight published adjusted coefficient pairs. No participant-level CSF matrix reconstructed.
Genetics,Candidate selection from published GWAS and MR evidence. Cell localization and bootstrap do not establish causal cell types or drug targets.
External nerve evidence,Source study reported 52 of 55 biopsies with C5b-9. The current analysis calculates the proportion and Wilson confidence interval only.
Primary matrices,Large raw matrices are not included. See data/README.md and config/datasets.yaml.
Repository,https://github.com/applepie567/gbs-cidp-blood-nerve-barrier
Original inputs,"Input_files lists original filenames or published extracts, access URLs, local paths and processing scripts. Datasets lists the study-level sources."
Public scope,"This workbook contains group-level results and source documentation. It does not contain donor-by-gene, donor-by-cell-type or donor clinical records."
Omitted intermediate sheets,"CIDP_donor_heterogeneity and Genetic_donor_celltype are omitted from this public edition. Aggregate contrasts, correlations and bootstrap intervals are retained."
Reconstruction,"Data_reconstruction describes the inputs and scripts needed to regenerate omitted intermediate tables, including the remaining genetic-table reconstruction gap."
Download dates,Original download dates and checksums of the primary input files were not recorded in the supplied release package. No retrospective download date is assigned.
Published evidence,"Where published coefficients, counts or observations were extracted, Input_files names that source instead of implying use of an unavailable individual-level matrix."
