dataset,sample,condition,compartment,module,score_z,module_label
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,CXCL8_CXCR1_2,-0.1715072988343771,CXCL8–CXCR1/2
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,CXCL8_CXCR1_2,-0.4152682062230197,CXCL8–CXCR1/2
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,CXCL8_CXCR1_2,0.0308817484518792,CXCL8–CXCR1/2
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,CXCL8_CXCR1_2,0.1617084839306879,CXCL8–CXCR1/2
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,CXCL8_CXCR1_2,0.3941852726748295,CXCL8–CXCR1/2
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,LIF_LIFR_IL6ST,0.2846508940802439,LIF/OSM–gp130
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,LIF_LIFR_IL6ST,-0.0827581738326903,LIF/OSM–gp130
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,LIF_LIFR_IL6ST,-0.1083766304985728,LIF/OSM–gp130
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,LIF_LIFR_IL6ST,0.1289873571441314,LIF/OSM–gp130
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,LIF_LIFR_IL6ST,-0.2225034468931085,LIF/OSM–gp130
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,Complement,-0.0270713621117852,Complement
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,Complement,-0.2949560158375969,Complement
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,Complement,-0.3871266907784461,Complement
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,Complement,0.1998097185760213,Complement
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,Complement,0.5093443501518066,Complement
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,Fc_receptor,0.2733953946775393,Fc receptor
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,Fc_receptor,0.3223926009291631,Fc receptor
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,Fc_receptor,-0.2914305347833528,Fc receptor
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,Fc_receptor,-0.0755683650854705,Fc receptor
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,Fc_receptor,-0.228789095737879,Fc receptor
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,Transendothelial_migration,0.2679357986613205,Transendothelial migration
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,Transendothelial_migration,0.0444981959622751,Transendothelial migration
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,Transendothelial_migration,-0.4959638894670936,Transendothelial migration
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,Transendothelial_migration,0.3568976747087288,Transendothelial migration
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,Transendothelial_migration,-0.173367779865231,Transendothelial migration
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,Interferon_JAK_STAT,0.2928522838041413,Interferon/JAK–STAT
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,Interferon_JAK_STAT,-0.1772867712329456,Interferon/JAK–STAT
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,Interferon_JAK_STAT,-0.8827685644762039,Interferon/JAK–STAT
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,Interferon_JAK_STAT,0.0409352349379853,Interferon/JAK–STAT
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,Interferon_JAK_STAT,0.7262678169670254,Interferon/JAK–STAT
PRJNA1293757,HPBMC1,HC,Marker_defined_monocyte,Inflammatory_monocyte,-0.2397502792615428,Inflammatory monocyte
PRJNA1293757,HPBMC2,HC,Marker_defined_monocyte,Inflammatory_monocyte,0.4961179767892736,Inflammatory monocyte
PRJNA1293757,PBMC1,Acute_GBS,Marker_defined_monocyte,Inflammatory_monocyte,-0.4207630939773267,Inflammatory monocyte
PRJNA1293757,PBMC2,Acute_GBS,Marker_defined_monocyte,Inflammatory_monocyte,0.0037747786475206,Inflammatory monocyte
PRJNA1293757,PBMC3,Acute_GBS,Marker_defined_monocyte,Inflammatory_monocyte,0.1606206178020781,Inflammatory monocyte
