file,rows,columns,purpose
Figure_1A_dataset_design.csv,3,7,Figure 1A dataset design
Figure_2A_cohort_module_effects.csv,28,7,Figure 2A cohort module effects
Figure_2B_random_effects_meta.csv,7,8,Figure 2B random effects meta
Figure_2C_whole_blood_phase_effects.csv,14,15,Figure 2C whole blood phase effects
Figure_2D_monocyte_sample_scores.csv,35,7,Figure 2D monocyte sample scores
Figure_3A_paired_scores.csv,60,4,Figure 3A paired scores
Figure_3A_proteome_sample_scores.csv,385,6,Figure 3A proteome sample scores
Figure_3B_proteome_module_effects.csv,21,20,Figure 3B proteome module effects
Figure_4A_CIDP_expression_dotplot.csv,91,7,Figure 4A CIDP expression dotplot
Figure_4B_CIDP_module_effects.csv,80,10,Figure 4B CIDP module effects
Figure_4C_CIDP_cell_fractions.csv,12,9,Figure 4C CIDP cell fractions
Figure_4D_CIDP_clinical_correlations.csv,15,5,Figure 4D CIDP clinical correlations
Figure_5A_cross_compartment_axes.csv,8,9,Figure 5A cross compartment axes
Figure_5B_CIDP_donor_heterogeneity.csv,9,6,Figure 5B CIDP donor heterogeneity
Figure_6A_phase_evidence.csv,7,7,Figure 6A phase evidence
Table_1_datasets_and_design.csv,3,7,Table 1 datasets and design
Table_2_cross_compartment_axes.csv,8,9,Table 2 cross compartment axes
Table_3_crosscohort_robustness.csv,7,7,Table 3 crosscohort robustness
source_data_manifest.csv,19,4,source data manifest
