refined_annotation,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,total_nuclei,q_all_refined_categories
CD4,0.0,0.0,0.0,0.0,,18,20,9,11,1.0,0.0,0.0,0,1.0
CD4_CD8,-0.0005985262002767473,0.00044909817012768607,-0.0015420464441299223,0.0003449940435764278,0.19924634330746188,18,20,9,11,0.2151519463565318,0.0,0.0005985262002767473,3,0.7358081291270722
Granulo1,-0.029270028899171525,0.016052241652219197,-0.06299453718159406,0.004454479383251005,0.08489037286582811,18,20,9,11,0.04823222393116557,0.022766482211477528,0.052036511110649046,284,0.5144770552657661
Granulo2,0.0017906973967011645,0.0017562170424661747,-0.0018989776952629532,0.0054803724886652826,0.32141214626941134,18,20,9,11,0.22994004035221005,0.0033533810057446143,0.0015626836090434498,17,0.7358081291270722
MAIT,0.0,0.0,0.0,0.0,,18,20,9,11,1.0,0.0,0.0,0,1.0
Macro1,-0.014786731505429699,0.009516215392557457,-0.03477955816333468,0.005206095152475287,0.13762711841113673,18,20,9,11,0.09451436500989764,0.017971498745678098,0.032758230251107794,185,0.5880829209283392
Macro10,0.0070921227902131945,0.0053999803175905905,-0.004252814875880679,0.018437060456307067,0.20555758554871242,18,20,9,11,0.2874954188691684,0.03616527198469584,0.02907314919448263,258,0.8363503094375808
Macro11,0.009358231435543835,0.008106810345285938,-0.007673545094921453,0.026390007966009123,0.26344643464838974,18,20,9,11,0.17146020606432733,0.04488507845661237,0.035526847021068536,276,0.6858408242573093
Macro12,7.91786023640554e-05,0.009276865140221118,-0.01941079183507026,0.019569149039798374,0.9932839749461246,18,20,9,11,0.9394400080349974,0.0541871481573745,0.05410796955501043,381,1.0
Macro13,-0.0012640696519693167,0.01038764132408343,-0.023087694255854795,0.020559554951916165,0.9044929600122913,18,20,9,11,0.8197075378297883,0.044120317872383956,0.045384387524353274,341,1.0
Macro14,-0.010192259212716867,0.014172712820125312,-0.03996802394652486,0.019583505521091123,0.48128350012874166,18,20,9,11,0.40331756510948324,0.042725875611298585,0.052918134824015445,431,0.9218687202502475
Macro15,0.01776207352621852,0.01771843626776772,-0.019462979747340844,0.05498712679977788,0.32940685313519225,18,20,9,11,0.7040429655866594,0.05980527979372531,0.04204320626750679,489,1.0
Macro16,0.0026104911528508122,0.004274633780357203,-0.006370181170260505,0.011591163475962129,0.5490368258047441,18,20,9,11,0.8197075378297883,0.023487303497243928,0.020876812344393116,180,1.0
Macro17,0.010601106284750592,0.012065632997866556,-0.014747848009926809,0.03595006057942799,0.3911854881212104,18,20,9,11,0.7612079858009609,0.02217039366677959,0.011569287382028998,190,1.0
Macro18,-0.008099481005890693,0.006929989154997845,-0.022658847960257036,0.006459885948475649,0.2577473858222073,18,20,9,11,0.11797039844384243,0.010155174421052732,0.018254655426943427,127,0.5880829209283392
Macro2,-0.039037465537592284,0.019843451434761565,-0.0807270100113355,0.0026520789361509436,0.06475872867569701,18,20,9,11,0.04823222393116557,0.03500045189407035,0.07403791743166262,411,0.5144770552657661
Macro3,0.005854630686955198,0.014522223364427427,-0.024655428452673746,0.03636468982658414,0.691586433226574,18,20,9,11,0.648503379652976,0.04750720816788992,0.04165257748093472,278,1.0
Macro4,-0.012197414852325145,0.00824734342947274,-0.029524440436741534,0.005129610732091245,0.15644110384843357,18,20,9,11,0.12864313895307422,0.031440372134124435,0.04363778698644957,286,0.5880829209283392
Macro5,-0.0012749114512300942,0.009360375058964088,-0.020940329717530255,0.018390506815070064,0.8931725264969046,18,20,9,11,0.3619347669211923,0.03468543201919291,0.035960343470423005,251,0.8909163493444734
Macro6,0.003939046594233367,0.010503005822792903,-0.0181269498276522,0.026005043016118938,0.7120132505200547,18,20,9,11,0.32332000913391523,0.0663016407092729,0.06236259411503953,455,0.862186691023774
Macro7,0.0026526675406660623,0.011799396119929896,-0.022136943829229247,0.02744227891056137,0.8246564819055666,18,20,9,11,0.9394400080349974,0.04603777074564239,0.043385103204976315,331,1.0
Macro8,-0.007962683217972697,0.009791136697732747,-0.028533098105252282,0.012607731669306888,0.42669929198208895,18,20,9,11,0.09463839528709553,0.04513427503354722,0.053096958251519916,346,0.5880829209283392
Macro9,-0.004772387378866021,0.011802242943963013,-0.029567979704117193,0.02002320494638515,0.6907102917630736,18,20,9,11,0.8197075378297883,0.05678026342205167,0.0615526508009177,432,1.0
Macro_Granulo,-0.0001813160887389018,0.005729881153375936,-0.012219349691828148,0.011856717514350343,0.9751042328292485,18,20,9,11,0.9394400080349974,0.01851381604984675,0.018695132138585653,127,1.0
Macro_cDC,-0.004293556898005471,0.006877842063837438,-0.018743366879218452,0.010156253083207513,0.5402895257460612,18,20,9,11,0.44724086493443127,0.01843735468918864,0.022730911587194112,170,0.9541138451934533
Mast,0.0,0.0,0.0,0.0,,18,20,9,11,1.0,0.0,0.0,0,1.0
NK_CD8,0.0,0.0,0.0,0.0,,18,20,9,11,1.0,0.0,0.0,0,1.0
Plasma,-8.865477400158187e-06,0.00042939009194892106,-0.0009109805854367724,0.0008932496306364561,0.9837546592723341,18,20,9,11,1.0,0.00028344671201814054,0.00029231218941829873,2,1.0
Unassigned,0.07641410390386665,0.03749489210878177,-0.002359741323932754,0.15518794913166606,0.056522203980977834,18,20,9,11,0.04823222393116557,0.1532286733819494,0.07681456947808273,696,0.5144770552657661
cDC1_pDC,0.0013987955548259172,0.0029159822734231428,-0.004727455872360933,0.007525046982012768,0.637218001231104,18,20,9,11,0.9381259469527296,0.005107061373076957,0.003708265818251039,26,1.0
cDC2_1,-0.0046601667914618885,0.006439759554644225,-0.018189599573666754,0.008869265990742978,0.4785772264019236,18,20,9,11,0.761120896413584,0.027933423186829835,0.03259358997829172,247,1.0
cDC2_2,-0.0009532813001419281,0.006655592955212394,-0.014936163230620633,0.013029600630336775,0.8876996810941512,18,20,9,11,1.0,0.03181560505723144,0.032768886357373364,217,1.0
